,store_id,store_type,store_brand,store_name,store_addr,store_geo_lat,store_geo_lng
0,-,대형마트,홈플러스,홈플러스 월드컵점,서울 마포구 월드컵로 240,37.5682884450841,126.897273034482
0,-,대형마트,홈플러스,홈플러스 강서점,서울 강서구 화곡로 398,37.5584699599397,126.854819012937
0,-,대형마트,홈플러스,홈플러스 금천점,서울 금천구 시흥대로 391,37.4686638539154,126.896885338466
0,-,대형마트,홈플러스,홈플러스 합정점,서울 마포구 서교동 490,37.5507467154903,126.913768796333
0,-,대형마트,홈플러스,홈플러스 방학점,서울 도봉구 도봉로 678,37.6648602093274,127.043598783853
0,-,대형마트,홈플러스,홈플러스 중계점,서울 노원구 동일로204가길 12,37.6398580838556,127.068668049616
0,-,대형마트,홈플러스,홈플러스 영등포점,서울 영등포구 당산로 42,37.5182396969791,126.895880210522
0,-,대형마트,홈플러스,홈플러스 강동점,서울 강동구 양재대로 1571,37.5457145865749,127.14225531407
0,-,대형마트,홈플러스스페셜,홈플러스스페셜 동대문점,서울 동대문구 천호대로 133,37.5745483247197,127.03876781084
0,-,대형마트,홈플러스스페셜,홈플러스스페셜 목동점,서울 양천구 목동서로 170,37.5302447468035,126.873300065422
0,-,대형마트,홈플러스,홈플러스 서울남현점,서울 관악구 과천대로 909,37.4714704021418,126.982466468514
0,-,대형마트,홈플러스,홈플러스 스페셜 시흥점,서울 금천구 시흥대로 201,37.4519047763825,126.900794781433
0,-,대형마트,홈플러스,홈플러스 월곡점,서울 성북구 화랑로 76,37.6018277386458,127.040463515854
0,-,대형마트,홈플러스,홈플러스 잠실점,서울 송파구 올림픽로35가길 16,37.5162517087896,127.103006473255
0,-,대형마트,홈플러스,홈플러스 스페셜 가양점,서울 강서구 양천로 431,37.5642640468035,126.849960213917
0,-,대형마트,홈플러스,홈플러스 서울상봉점,서울 중랑구 상봉동 500,37.598101220303,127.090513674158
0,-,대형마트,홈플러스,홈플러스 신도림점,서울 구로구 경인로 661,37.5090492151745,126.8869873429
0,-,대형마트,홈플러스,홈플러스 면목점,서울 중랑구 사가정로 332,37.5811863912514,127.08038084565
0,-,대형마트,홈플러스,홈플러스 신내점,서울 중랑구 신내로 201,37.6158126968346,127.093737926072
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 광화문점,서울 종로구 새문안로 91,37.5704876038354,126.974761002545
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 연남점,서울 마포구 연남로 44,37.563497611965,126.921225816381
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 봉천점,서울 관악구 양녕로 46,37.4861422511009,126.947285551333
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 명륜2점,서울 종로구 혜화로3길 5,37.5859646059047,127.000230514994
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 남성점,서울 동작구 사당로 215,37.4844593113614,126.972344800972
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 왕십리점,서울 성동구 왕십리로 333,37.562723999259,127.032571064368
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 당산점,서울 영등포구 당산로44길 3,37.5319143458605,126.901077532801
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 가산점,서울 금천구 가산로 106,37.4754448085701,126.893680931368
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 삼선점,서울 성북구 삼선교로 6,37.5879301180095,127.006593740013
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 신당점,서울 중구 다산로 222,37.5628525208577,127.015591399432
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 중곡점,서울 광진구 능동로 314,37.5576188388403,127.080039873331
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 보문점,서울 성북구 보문로 61,37.5807751898586,127.021439462939
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 북가좌점,서울 서대문구 응암로 112,37.5824489279945,126.913589367782
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 신길3점,서울 영등포구 가마산로69가길 12,37.5061324962321,126.90960664156
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 압구정점,서울 강남구 압구정로46길 5-2,37.5280407556239,127.036869472402
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 상도2점,서울 동작구 만양로 26,37.5076305303451,126.949543551123
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 구로점,서울 구로구 구일로10길 27,37.4959404465654,126.872266560677
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 신정점,서울 양천구 중앙로 255-1,37.5191629222655,126.852968795835
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 신길점,서울 영등포구 여의대방로 65,37.4973605331995,126.913152385065
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 잠실점,서울 송파구 석촌호수로 133,37.5076503261616,127.091798886664
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 화곡점,서울 강서구 화곡로 153,37.5414945865523,126.838750382592
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 도화점,서울 마포구 도화4길 73,37.538718127097,126.951132481622
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 대방점,서울 동작구 노량진로 4,37.5124124321853,126.926240355701
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 명륜점,서울 종로구 혜화로 17,37.5871099480928,126.999784539905
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 삼전역점,서울 송파구 백제고분로 207,37.5041183948621,127.089795706905
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 상도점,서울 동작구 성대로 43,37.498975188861,126.93366186004
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 숭인점,서울 종로구 숭인동 76,37.5738517068991,127.016177810477
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 상암점,서울 마포구 월드컵북로 502,37.5850443805494,126.879869563728
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 대치점,서울 강남구 도곡로 450,37.4980817418549,127.059772100614
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 서초점,서울 서초구 서초중앙로 188,37.4973504144781,127.013538045649
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 신길2점,서울 영등포구 영등포로 364,37.5141215891197,126.918360951993
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 개롱점,서울 송파구 오금로 410,37.4974357385,127.135434067417
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 등촌점,서울 강서구 공항대로41길 56,37.5601861543743,126.846328848733
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 도곡2점,서울 강남구 논현로28길 9,37.4827271767229,127.043363387843
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 면목점,서울 중랑구 면목로 357,37.5839916838426,127.08813658984
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 삼성2점,서울 강남구 삼성로 548,37.5106173003053,127.055030980435
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 태릉점,서울 중랑구 동일로129길 35,37.5992225724592,127.077505274598
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 목동2점,서울 양천구 등촌로 172,37.5451346059769,126.862607834028
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 장지점,서울 송파구 충민로2길 28,37.4771583839836,127.127416905219
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 화곡2점,서울 강서구 까치산로 106,37.5475444670864,126.849281947719
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 구산점,서울 은평구 서오릉로 145,37.611286414672,126.916477274153
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 중곡2점,서울 광진구 용마산로 10,37.5545352784401,127.088841013335
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 양재점,서울 서초구 동산로 72,37.4721741955576,127.046667778757
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 중계점,서울 노원구 중계로 225,37.6503840349218,127.074984978156
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 서초2점,서울 서초구 서초중앙로 56,37.4868994848558,127.015459364908
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 도림점,서울 영등포구 도신로 75,37.5067177269855,126.90077330066
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 송파점,서울 송파구 가락로28길 7,37.5063681661101,127.116739304529
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 뚝섬점,서울 성동구 아차산로 41,37.5469652009623,127.048975538142
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 발산점,서울 강서구 수명로 68-35,37.5529862473925,126.82677164429
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 길동점,서울 강동구 양재대로 1486,37.5383619865301,127.140522748413
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 금호점,서울 성동구 행당로 6,37.5544764185936,127.020746218188
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 서울쌍문점,서울 도봉구 도봉로 517,37.6516165108997,127.036088180096
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 응암점,서울 은평구 응암로 247,37.5942237088269,126.917854566217
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 상도3점,서울 동작구 양녕로 170,37.4970019422426,126.943642572569
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 옥수점,서울 성동구 독서당로 171,37.541192068945,127.010804866166
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 목동점,서울 양천구 목동동로 401,37.5363752723271,126.881126305795
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 미아점,서울 강북구 도봉로 172,37.6242206246421,127.027361963445
0,-,대형슈퍼,홈플러스익스프레스,홈플러스익스프레스 성내점,서울 강동구 풍성로 138,37.5312353306954,127.127348186394
