,store_id,store_type,store_brand,store_name,store_addr,store_geo_lat,store_geo_lng
0,-,드럭스토어,랄라블라,랄라블라 건대점,서울 광진구 아차산로 244,37.5397305477366,127.070200722719
0,-,드럭스토어,랄라블라,랄라블라 명동2가점,서울 중구 남대문로 64,37.5627658956023,126.982216802182
0,-,드럭스토어,랄라블라,랄라블라 홍대중앙점,서울 마포구 홍익로6길 15,37.5553579057749,126.922709032013
0,-,드럭스토어,랄라블라,랄라블라 신림점,서울 관악구 신림로 321,37.4828969433377,126.929546648038
0,-,드럭스토어,랄라블라,랄라블라 숙대2호점,서울 용산구 청파로47길 66,37.545067501628,126.966770459878
0,-,드럭스토어,랄라블라,랄라블라 미아사거리점,서울 강북구 도봉로 52,37.613699372646,127.03052852605
0,-,드럭스토어,랄라블라,랄라블라 구로디지털점,서울 구로구 시흥대로 561,37.4832605046509,126.901242115542
0,-,드럭스토어,랄라블라,랄라블라 관악점,서울 관악구 신림로 350,37.4855072234589,126.929948753311
0,-,드럭스토어,랄라블라,랄라블라 파르나스몰점,서울 강남구 테헤란로 521,37.5091916919873,127.06080691987
0,-,드럭스토어,랄라블라,랄라블라 연신내점,서울 은평구 통일로 855-20,37.6196577807144,126.919876222163
0,-,드럭스토어,랄라블라,랄라블라 고대점,서울 성북구 고려대로24길 32,37.5848050119051,127.029234304551
0,-,드럭스토어,랄라블라,랄라블라 파리공원점,서울 양천구 목동서로 65,37.5361251512716,126.878730311055
0,-,드럭스토어,랄라블라,랄라블라 화곡점,서울 강서구 화곡로 157,37.5415777854068,126.839107538296
0,-,드럭스토어,랄라블라,랄라블라 이대점,서울 서대문구 이화여대길 34,37.558453141276,126.945944197486
0,-,드럭스토어,랄라블라,랄라블라 아차산점,서울 광진구 천호대로 661,37.5520148574659,127.090109352302
0,-,드럭스토어,랄라블라,랄라블라 중대점,서울 동작구 흑석로 94,37.5072688094279,126.959980376481
0,-,드럭스토어,랄라블라,랄라블라 신촌대로점,서울 서대문구 신촌로 109,37.5558311934312,126.937798700666
0,-,드럭스토어,랄라블라,랄라블라 서교점,서울 마포구 어울마당로 96,37.5535290592888,126.9222947931
0,-,드럭스토어,랄라블라,랄라블라 경희플라자점,서울 동대문구 회기동 1-5,37.5967126141451,127.051394683223
0,-,드럭스토어,랄라블라,랄라블라 인사동점,서울 종로구 인사동길 49,37.5744668688197,126.983552182559
0,-,드럭스토어,랄라블라,랄라블라 파크하비오점,서울 송파구 송파대로 111,37.4796683841344,127.124913859704
0,-,드럭스토어,랄라블라,랄라블라 까치산점,서울 강서구 강서로 42-1,37.5318074180149,126.846957531654
0,-,드럭스토어,랄라블라,랄라블라 동대문현대시티아울렛점,서울 중구 장충단로13길 20,37.568734553218,127.007666479829
0,-,드럭스토어,랄라블라,랄라블라 성신여대점,서울 성북구 동소문로20다길 17,37.5919601952479,127.017698993095
0,-,드럭스토어,랄라블라,랄라블라 명동중앙점,서울 중구 명동10길 25-1,37.5626708491237,126.985583944032
0,-,드럭스토어,랄라블라,랄라블라 망원점,서울 마포구 월드컵로 75,37.5556322935424,126.91015440036
0,-,드럭스토어,랄라블라,랄라블라 성대시장점,서울 동작구 상도로 102,37.4999426964441,126.931776254273
0,-,드럭스토어,랄라블라,랄라블라 독산점,서울 금천구 시흥대로 399,37.4693591753013,126.897001948519
0,-,드럭스토어,랄라블라,랄라블라 광진화양점,서울 광진구 능동로13길 39,37.543959020957,127.069757721395
0,-,드럭스토어,랄라블라,랄라블라 건대2호점,서울 광진구 아차산로 225,37.5409180841466,127.068481030029
0,-,드럭스토어,랄라블라,랄라블라 합정메세나점,서울 마포구 양화로 45,37.5515008030203,126.91395024016
0,-,드럭스토어,랄라블라,랄라블라 신림청암점,서울 관악구 신림로 318,37.4825754320038,126.930252917369
0,-,드럭스토어,랄라블라,랄라블라 서강대점,서울 마포구 백범로 35,37.5514693075541,126.943024997981
0,-,기업,랄라블라,랄라블라 본사,서울 강남구 논현로 508,37.5019949322814,127.037336400239
