,store_id,store_type,store_brand,store_name,store_addr,store_geo_lat,store_geo_lng
0,-,커피전문점,폴바셋,폴바셋 한남커피스테이션,서울 용산구 한남대로 48,37.5333467292793,127.008170967514
0,-,커피전문점,폴바셋,폴바셋 강남삼성타운점,서울 서초구 서초대로78길 22,37.4958057253368,127.027547429997
0,-,커피전문점,폴바셋,폴바셋 광화문점,서울 종로구 종로1길 50,37.5747244659804,126.979022440109
0,-,커피전문점,폴바셋,폴바셋 청담점,서울 강남구 도산대로75길 22,37.5256502344542,127.045827606523
0,-,커피전문점,폴바셋,폴바셋 여의도점,서울 영등포구 여의대로 66,37.5245506689521,126.923707832244
0,-,커피전문점,폴바셋,폴바셋 구로지밸리몰점,서울 구로구 디지털로 300,37.4849270383011,126.896538036905
0,-,커피전문점,폴바셋,폴바셋 올림픽공원북2문점,서울 강동구 강동대로 199,37.5242231780274,127.128696494524
0,-,커피전문점,폴바셋,폴바셋 종각역점,서울 종로구 종로 47,37.5711250081852,126.982438945074
0,-,커피전문점,폴바셋,폴바셋 압구정점,서울 강남구 압구정로 152,37.5255648913174,127.026048899405
0,-,커피전문점,폴바셋,폴바셋 서초본점,서울 서초구 사임당로 157,37.4924645110926,127.026807575667
0,-,커피전문점,폴바셋,폴바셋 을지로파인에비뉴점,서울 중구 을지로 100,37.5656490167105,126.988142568678
0,-,커피전문점,폴바셋,폴바셋 일원역점,서울 강남구 일원동 717,37.4840018638246,127.084451669321
0,-,커피전문점,폴바셋,폴바셋 국회의사당역점,서울 영등포구 국회대로68길 18,37.5285348986665,126.919764156019
0,-,커피전문점,폴바셋,폴바셋 교보문고합정점,서울 마포구 월드컵로1길 14,37.5500497954747,126.912061257921
0,-,커피전문점,폴바셋,폴바셋 코리아나호텔점,서울 중구 세종대로 135,37.5678135772855,126.976247211074
0,-,커피전문점,폴바셋,폴바셋 더클래식500점,서울 광진구 능동로 90,37.5383625791299,127.070921773952
0,-,커피전문점,폴바셋,폴바셋 서대문역점,서울 중구 서소문로9길 41-10,37.5640205025606,126.968988644635
0,-,커피전문점,폴바셋,폴바셋 강남구청역점,서울 강남구 학동로 401,37.5176412282367,127.041673152472
