,store_id,store_type,store_brand,store_name,store_addr,store_geo_lat,store_geo_lng
0,-,편의점,세븐일레븐,세븐일레븐 한남UN점,서울 용산구 독서당로 86,37.5342832610986,127.010094699247
0,-,편의점,세븐일레븐,세븐일레븐 천호사거리점,서울 강동구 천호대로157길 26,37.5388374796553,127.127552334563
0,-,편의점,세븐일레븐,세븐일레븐 역삼언주로점,서울 강남구 언주로85길 24,37.5010140537786,127.041259156695
0,-,편의점,세븐일레븐,세븐일레븐 연남숲길점,서울 마포구 성미산로23길 16-5,37.5644945951946,126.921407563625
0,-,편의점,세븐일레븐,세븐일레븐 홍대스타점,서울 마포구 어울마당로 74,37.5515597604562,126.921631639385
0,-,편의점,세븐일레븐,세븐일레븐 방이5호점,서울 송파구 위례성대로16길 21,37.5108590063672,127.124366471543
0,-,편의점,세븐일레븐,세븐일레븐 공릉점,서울 노원구 공릉로 101,37.6193014358931,127.077841683528
0,-,편의점,세븐일레븐,세븐일레븐 마포리버웰점,서울 마포구 토정로31길 23,37.5416322568747,126.941479693192
0,-,편의점,세븐일레븐,세븐일레븐 서초샤르망점,서울 서초구 효령로55길 28,37.4861327609484,127.01447946651
0,-,편의점,세븐일레븐,세븐일레븐 마포구청점,서울 마포구 월드컵로 204,37.5653992058145,126.9021317644
0,-,편의점,세븐일레븐,세븐일레븐 소공점,서울 중구 남대문로7길 11,37.5636892672995,126.981249523015
0,-,편의점,세븐일레븐,세븐일레븐 교대역사거리점,서울 서초구 서초중앙로 138,37.4942438734072,127.013967192463
0,-,편의점,세븐일레븐,세븐일레븐 서강대르메이에르점,서울 마포구 백범로 13,37.5534472643432,126.937496367054
0,-,편의점,세븐일레븐,세븐일레븐 서울복합물류단지점,서울 송파구 송파대로 55,37.4741646654933,127.123881817499
0,-,편의점,세븐일레븐,세븐일레븐 역삼한서점,서울 강남구 테헤란로38길 11,37.5012958846463,127.041782586457
0,-,편의점,세븐일레븐,세븐일레븐 여의점,서울 영등포구 여의서로 43,37.5307295655332,126.924843194287
0,-,편의점,세븐일레븐,세븐일레븐 시그니처타워점,서울 중구 청계천로 100,37.5674999604085,126.988422084893
0,-,편의점,세븐일레븐,세븐일레븐 서교세교길점,서울 마포구 양화로12길 8-5,37.5517452880959,126.917806488951
0,-,편의점,세븐일레븐,세븐일레븐 마포성산점,서울 마포구 성미산로 23,37.5587301952762,126.910872192372
0,-,편의점,세븐일레븐,세븐일레븐 대치6호점,서울 강남구 삼성로85길 19,37.5047182758352,127.055726266544
0,-,편의점,세븐일레븐,세븐일레븐 마포노고산점,서울 마포구 신촌로14길 5,37.5556680229524,126.933982393647
0,-,편의점,세븐일레븐,세븐일레븐 봉천해주점,서울 관악구 봉천로 466,37.4820210080697,126.951638187547
0,-,편의점,세븐일레븐,세븐일레븐 봉천1호점,서울 관악구 남부순환로 1766,37.481700832272,126.946114635644
0,-,편의점,세븐일레븐,세븐일레븐 DH아너힐즈점,서울 강남구 삼성로 11,37.4844402093504,127.067960222798
0,-,편의점,세븐일레븐,세븐일레븐 당산역본점,서울 영등포구 당산로 237,37.5349150093689,126.902232712073
0,-,편의점,세븐일레븐,세븐일레븐 무교점,서울 중구 무교로 12,37.5670466069498,126.979375711608
0,-,편의점,세븐일레븐,세븐일레븐 성북본점,서울 성북구 한천로99길 45,37.620456070339,127.049825331313
0,-,편의점,세븐일레븐,세븐일레븐 서강레지덴시아점,서울 마포구 백범로 28,37.5520644056727,126.936974571542
0,-,편의점,세븐일레븐,세븐일레븐 당인동점,서울 마포구 어울마당로 26,37.5474999833621,126.919932359364
0,-,편의점,세븐일레븐,세븐일레븐 방배효령점,서울 서초구 효령로 165,37.4825381525088,127.002237861854
0,-,편의점,세븐일레븐,세븐일레븐 세종대로카페점,서울 중구 세종대로 76-1,37.5629554535728,126.976940198959
0,-,편의점,세븐일레븐,세븐일레븐 풍납사거리점,서울 송파구 올림픽로 509,37.5278698593939,127.11839160464
0,-,편의점,세븐일레븐,세븐일레븐 홍익대2호점,서울 마포구 와우산로 63,37.5502727848665,126.922878599624
0,-,편의점,세븐일레븐,세븐일레븐 연트럴파크점,서울 마포구 양화로19길 14,37.5581841757671,126.924272262669
0,-,편의점,세븐일레븐,세븐일레븐 L7강남점,서울 강남구 테헤란로 415,37.5057885877997,127.051541631852
0,-,편의점,세븐일레븐,세븐일레븐 도선까페점,서울 성동구 왕십리로 326,37.5627533594485,127.033895108318
0,-,편의점,세븐일레븐,세븐일레븐 신사5호점,서울 강남구 강남대로162길 45,37.5211439578293,127.021984150385
0,-,편의점,세븐일레븐,세븐일레븐 마곡센트럴점,서울 강서구 공항대로 227,37.5596003426585,126.832686373319
0,-,편의점,세븐일레븐,세븐일레븐 강서화곡점,서울 강서구 곰달래로 111,37.5306260031811,126.845280332399
0,-,편의점,세븐일레븐,세븐일레븐 리버파크점,서울 동작구 만양로3길 20,37.5082107065725,126.946118884633
0,-,편의점,세븐일레븐,세븐일레븐 홍대역점,서울 마포구 홍익로 19,37.5540114950545,126.922632560792
0,-,편의점,세븐일레븐,세븐일레븐 양재7호점,서울 서초구 마방로 12,37.4738535929322,127.040288947605
0,-,편의점,세븐일레븐,세븐일레븐 오금본점,서울 송파구 위례성대로 180,37.510129171453,127.130972166064
0,-,편의점,세븐일레븐,세븐일레븐 대치삼화점,서울 강남구 테헤란로114길 20,37.5083543250525,127.066764125492
0,-,편의점,세븐일레븐,세븐일레븐 연희점,서울 서대문구 연희로 177,37.5730235310553,126.935247820456
0,-,편의점,세븐일레븐,세븐일레븐 양재4호점,서울 서초구 매헌로 42,37.4647028057377,127.03440229927
0,-,편의점,세븐일레븐,세븐일레븐 역삼한은점,서울 강남구 테헤란로 204,37.5010077030074,127.038726929619
0,-,편의점,세븐일레븐,세븐일레븐 면목점,서울 중랑구 면목로 456,37.5925678878,127.086896875593
0,-,편의점,세븐일레븐,세븐일레븐 논현14호점,서울 강남구 논현로149길 35,37.5176224400878,127.025735747444
0,-,편의점,세븐일레븐,세븐일레븐 강서화곡중앙점,서울 강서구 화곡로 130,37.540226072686,126.836199087429
0,-,편의점,세븐일레븐,세븐일레븐 서초중앙점,서울 서초구 반포대로23길 14,37.4891094080713,127.007981724198
0,-,편의점,세븐일레븐,세븐일레븐 강서등촌점,서울 강서구 공항대로41길 43,37.5599073490843,126.845540896294
0,-,편의점,세븐일레븐,세븐일레븐 교대역점,서울 서초구 서초대로50길 24,37.492088163799,127.01281837401
0,-,편의점,세븐일레븐,세븐일레븐 상암KLID타워점,서울 마포구 성암로 301,37.582468718569,126.887937496441
0,-,편의점,세븐일레븐,세븐일레븐 역삼타운점,서울 강남구 강남대로84길 28,37.4969888147021,127.030915425068
0,-,편의점,세븐일레븐,세븐일레븐 홍대서교점,서울 마포구 월드컵북로1길 18,37.5550936908762,126.920207167536
0,-,편의점,세븐일레븐,세븐일레븐 동교숲길점,서울 마포구 동교로 232,37.5605835663658,126.924469146205
