,store_id,store_type,store_brand,store_name,store_addr,store_geo_lat,store_geo_lng
0,-,커피전문점,커피빈,커피빈 강남역12번출구점,서울 강남구 테헤란로 111,37.49888152,127.0292817
0,-,커피전문점,커피빈,커피빈 동대입구역점,서울 중구 동호로24길 11,37.55974211,127.0052206
0,-,커피전문점,커피빈,커피빈 강남역먹자골목점,서울 강남구 테헤란로1길 29,37.50011178,127.0272908
0,-,커피전문점,커피빈,커피빈 홍대역점,서울 마포구 홍익로6길 26,37.55547225,126.9232666
0,-,커피전문점,커피빈,커피빈 매헌역점,서울 서초구 동산로 1,37.46900846,127.0401398
0,-,커피전문점,커피빈,커피빈 한성대입구역점,서울 성북구 삼선교로 12,37.58759113,127.0071424
0,-,커피전문점,커피빈,커피빈 노원역점,서울 노원구 노해로 490,37.65440974,127.0624109
0,-,커피전문점,커피빈,커피빈 마곡마커스빌딩점,서울 강서구 마곡동로 55,37.56006828,126.8330379
0,-,커피전문점,커피빈,커피빈 압구정로데오점,서울 강남구 선릉로157길 12,37.5261149,127.0390125
0,-,커피전문점,커피빈,커피빈 광화문점,서울 종로구 종로 14,37.56981266,126.9788619
0,-,커피전문점,커피빈,커피빈 학동역DT점,서울 강남구 학동로 211,37.51467903,127.032053
0,-,커피전문점,커피빈,커피빈 강남역GT타워옆점,서울 서초구 서초대로73길 12,37.49855024,127.0257354
0,-,커피전문점,커피빈,커피빈 인사점,서울 종로구 인사동4길 18,37.57299457,126.9873373
0,-,커피전문점,커피빈,커피빈 삼성로점,서울 강남구 삼성로 551,37.51071159,127.0541507
0,-,커피전문점,커피빈,커피빈 응암동점,서울 은평구 은평로 121,37.60044294,126.9210928
0,-,커피전문점,커피빈,커피빈 종로관철동점,서울 종로구 종로14길 32,37.56857872,126.9867305
0,-,커피전문점,커피빈,커피빈 강남에스점,서울 서초구 강남대로 423,37.50030971,127.0258153
0,-,커피전문점,커피빈,커피빈 장안점,서울 동대문구 장한로 115,37.57094081,127.0705369
0,-,커피전문점,커피빈,커피빈 서울대입구역점,서울 관악구 관악로 161,37.47960707,126.9521839
0,-,커피전문점,커피빈,커피빈 신촌점,서울 서대문구 연세로 8-1,37.55634126,126.937303
0,-,커피전문점,커피빈,커피빈 강남대로점,서울 서초구 강남대로 369,37.49565816,127.0282145
0,-,커피전문점,커피빈,커피빈 청담에스점,서울 강남구 압구정로 461,37.52525477,127.0472324
0,-,커피전문점,커피빈,커피빈 방이점,서울 송파구 오금로11길 7,37.51455438,127.1079666
0,-,커피전문점,커피빈,커피빈 합정역점,서울 마포구 독막로 13,37.54881384,126.9150656
0,-,커피전문점,커피빈,커피빈 선릉역3번출구세방빌딩점,서울 강남구 선릉로 433,37.50377398,127.0489144
0,-,커피전문점,커피빈,커피빈 잠원논현역점,서울 서초구 신반포로47길 5,37.51095901,127.0194513
0,-,커피전문점,커피빈,커피빈 강동경희대병원앞점,서울 강동구 동남로 885,37.55265359,127.155976
0,-,커피전문점,커피빈,커피빈 상봉역점,서울 중랑구 망우로 291,37.59644855,127.0847926
0,-,커피전문점,커피빈,커피빈 홍대역8번출구점,서울 마포구 양화로18안길 7,37.55682752,126.9250884
0,-,커피전문점,커피빈,커피빈 강북구청앞점,서울 강북구 한천로139길 25,37.63909555,127.0257254
0,-,커피전문점,커피빈,커피빈 을지로입구역점,서울 중구 남대문로10길 6,37.56687801,126.9832477
0,-,커피전문점,커피빈,커피빈 신논현역점,서울 강남구 봉은사로 108,37.5045343,127.025592
0,-,커피전문점,커피빈,커피빈 혜화역1번출구점,서울 종로구 대학로 128,37.58270506,127.0021572
0,-,커피전문점,커피빈,커피빈 고대안암역점,서울 성북구 개운사길 8,37.58699209,127.0295761
0,-,커피전문점,커피빈,커피빈 청담성당점,서울 강남구 삼성로 716,37.51990608,127.0500366
0,-,커피전문점,커피빈,커피빈 몽촌토성역점,서울 송파구 위례성대로 2,37.51692449,127.1127666
0,-,커피전문점,커피빈,커피빈 뉴가로수길점,서울 강남구 신사동 530-4,37.52358508,127.0222857
0,-,커피전문점,커피빈,커피빈 시청역7번출구점,서울 중구 세종대로 84,37.56366143,126.9771782
0,-,커피전문점,커피빈,커피빈 합정푸르지오점,서울 마포구 월드컵로3길 14,37.55100797,126.911649
0,-,커피전문점,커피빈,커피빈 천호역점,서울 강동구 올림픽로 659,37.54030467,127.1235647
0,-,커피전문점,커피빈,커피빈 압구정시티점,서울 강남구 도산대로49길 13,37.52374304,127.0369616
0,-,커피전문점,커피빈,커피빈 역삼점,서울 강남구 논현로 512,37.50234928,127.0365215
0,-,커피전문점,커피빈,커피빈 뉴압구정점,서울 강남구 논현로167길 9,37.5244213,127.0274266
0,-,커피전문점,커피빈,커피빈 압구정에스점,서울 강남구 압구정로46길 3,37.52828726,127.03691
0,-,커피전문점,커피빈,커피빈 삼성역글라스타워뒷점,서울 강남구 영동대로85길 9,37.50708738,127.0628952
0,-,커피전문점,커피빈,커피빈 청담카페점,서울 강남구 도산대로67길 7,37.52448948,127.0443875
0,-,커피전문점,커피빈,커피빈 수서점,서울 강남구 광평로 280,37.48731916,127.1031081
0,-,커피전문점,커피빈,커피빈 양재스포타임점,서울 서초구 강남대로 213,37.48276664,127.0349496
0,-,커피전문점,커피빈,커피빈 여의도순복음교회옆점,서울 영등포구 여의서로 43,37.53072957,126.9248432
0,-,커피전문점,커피빈,커피빈 대학로마로니에점,서울 종로구 대학로12길 62,37.5814021,127.0037068
0,-,커피전문점,커피빈,커피빈 중계동은행사거리점,서울 노원구 한글비석로 263,37.65121027,127.0764712
0,-,커피전문점,커피빈,커피빈 구로지밸리몰점,서울 구로구 디지털로 300,37.48492704,126.896538
0,-,커피전문점,커피빈,커피빈 문래동점,서울 영등포구 선유로 63,37.51965256,126.8890496
0,-,커피전문점,커피빈,커피빈 연대동문회관점,서울 서대문구 성산로 515,37.5630334,126.9433334
0,-,커피전문점,커피빈,커피빈 매봉역점,서울 강남구 논현로38길 42,37.48557337,127.0450522
0,-,커피전문점,커피빈,커피빈 서초뱅뱅사거리점,서울 서초구 강남대로 267,37.48716484,127.0323343
0,-,커피전문점,커피빈,커피빈 대학로점,서울 종로구 대학로10길 5,37.58186091,127.0025798
0,-,커피전문점,커피빈,커피빈 건대스타시티점,서울 광진구 능동로 90,37.53836258,127.0709218
0,-,커피전문점,커피빈,커피빈 잠실향군타워점,서울 송파구 올림픽로35길 123,37.51657779,127.1012259
0,-,커피전문점,커피빈,커피빈 타임스퀘어점,서울 영등포구 영중로 15,37.51723326,126.903716
0,-,커피전문점,커피빈,커피빈 서초우성점,서울 서초구 강남대로51길 1,37.49128705,127.0302623
0,-,커피전문점,커피빈,커피빈 압구정역점,서울 강남구 논현로 842,37.52403797,127.0287309
0,-,커피전문점,커피빈,커피빈 낙성대역점,서울 관악구 남부순환로 1909,37.47811303,126.961607
0,-,커피전문점,커피빈,커피빈 올림픽공원북2문앞점,서울 강동구 강동대로 193,37.52456423,127.1280152
0,-,커피전문점,커피빈,커피빈 외대앞점,서울 동대문구 이문로 106,37.59606919,127.0602182
0,-,커피전문점,커피빈,커피빈 동교동삼거리점,서울 마포구 양화로 196,37.55837832,126.9265181
0,-,커피전문점,커피빈,커피빈 화곡역점,서울 강서구 강서로 162,37.54139534,126.8410383
0,-,커피전문점,커피빈,커피빈 삼성봉은사거리점,서울 강남구 영동대로 607,37.5145473,127.0594866
0,-,커피전문점,커피빈,커피빈 석촌호수점,서울 송파구 석촌호수로 222,37.50706912,127.1015532
0,-,커피전문점,커피빈,커피빈 신용산역래미안점,서울 용산구 한강대로 95,37.52881739,126.9666538
0,-,커피전문점,커피빈,커피빈 방배카페골목점,서울 서초구 방배중앙로 187,37.49571011,126.9855324
0,-,커피전문점,커피빈,커피빈 종로구청앞점,서울 종로구 종로3길 34,37.57187479,126.9794815
0,-,커피전문점,커피빈,커피빈 현대자동차여의도점,서울 영등포구 국제금융로 20,37.52488829,126.9272975
0,-,커피전문점,커피빈,커피빈 현대자동차성내점,서울 강동구 천호대로 1096,37.53519955,127.1332303
0,-,커피전문점,커피빈,커피빈 내방역7번출구유중아트점,서울 서초구 방배로 178,37.48954312,126.9928428
0,-,커피전문점,커피빈,커피빈 도곡동지오빌딩점,서울 강남구 도곡로 206,37.49227135,127.0416667
0,-,커피전문점,커피빈,커피빈 상암SBS미디어센터점,서울 마포구 상암산로 82,37.5797159,126.892774
0,-,커피전문점,커피빈,커피빈 광장동대한제지점,서울 광진구 아차산로 563,37.54413407,127.1029306
0,-,커피전문점,커피빈,커피빈 강서그랜드아이파크점,서울 강서구 화곡로 341,37.55429295,126.8509956
0,-,커피전문점,커피빈,커피빈 문정동환인제약빌딩점,서울 송파구 법원로6길 11,37.48364656,127.1221984
0,-,커피전문점,커피빈,커피빈 안국역점,서울 종로구 율곡로 47,37.57633684,126.9845865
0,-,커피전문점,커피빈,커피빈 오목교역사거리점,서울 양천구 오목로 350,37.52415767,126.8762721
0,-,커피전문점,커피빈,커피빈 신사점,서울 강남구 도산대로 126,37.51696584,127.0224097
0,-,커피전문점,커피빈,커피빈 왕십리민자역사점,서울 성동구 왕십리광장로 17,37.56144175,127.0383942
0,-,커피전문점,커피빈,커피빈 신촌역앞점,서울 서대문구 신촌역로 20,37.55837803,126.943139
0,-,커피전문점,커피빈,커피빈 영동고앞점,서울 강남구 선릉로 749,37.52145854,127.0394767
0,-,커피전문점,커피빈,커피빈 대치사거리점,서울 강남구 삼성로 352,37.5030433,127.0590723
0,-,커피전문점,커피빈,커피빈 삼청동점,서울 종로구 삼청로 109,37.58513347,126.9817741
0,-,커피전문점,커피빈,커피빈 여의도SK증권빌딩점,서울 영등포구 국제금융로8길 31,37.51974601,126.9280666
0,-,커피전문점,커피빈,커피빈 문정역엠스테이트점,서울 송파구 법원로 114,37.48605528,127.1210094
0,-,커피전문점,커피빈,커피빈 위례2차아이파크점,서울 송파구 위례광장로 230,37.47861711,127.1437588
0,-,커피전문점,커피빈,커피빈 서초부띠크모나코점,서울 서초구 서초대로 397,37.49743406,127.0245168
0,-,커피전문점,커피빈,커피빈 구의삼성쉐르빌점,서울 광진구 구의강변로 106,37.53985699,127.0948966
