,store_id,store_type,store_brand,store_name,store_addr,store_geo_lat,store_geo_lng
0,-,편의점,CU,CU 한강여의도1호점,서울 영등포구 여의도동 86-5,37.5224768,126.9397007
0,-,편의점,CU,CU 시청광장점,서울 중구 을지로 6,37.56538217,126.9792085
0,-,편의점,CU,CU 역삼센타점,서울 강남구 역삼로9길 28,37.49591356,127.0338512
0,-,편의점,CU,CU 공군회관점,서울 동작구 알마타길 6,37.50985709,126.9249542
0,-,편의점,CU,CU 마곡푸르지오점,서울 강서구 마곡중앙6로 10,37.56038652,126.8282078
0,-,편의점,CU,CU 역삼에클라트점,서울 강남구 테헤란로20길 19,37.4985647,127.0350268
0,-,편의점,CU,CU 신사성환점,서울 강남구 강남대로152길 14,37.51715067,127.0206993
0,-,편의점,CU,CU 논현힐탑점,서울 강남구 학동로30길 39,37.51158355,127.0330041
0,-,편의점,CU,CU 서초그린점,서울 서초구 잠원로3길 40,37.50821285,127.0036587
0,-,편의점,CU,CU 양재점,서울 강남구 강남대로 238,37.48496651,127.0347571
0,-,편의점,CU,CU 마포구청점,서울 마포구 월드컵로 139,37.56030096,126.9059463
0,-,편의점,CU,CU 역삼신웅점,서울 강남구 테헤란로 216,37.50144323,127.040146
0,-,편의점,CU,CU 가오리사거리점,서울 강북구 삼각산로22길 2,37.64054974,127.0166776
0,-,편의점,CU,CU 대치삼성점,서울 강남구 도곡로 516,37.49918128,127.0629879
0,-,편의점,CU,CU 대림중앙점,서울 영등포구 대림로 209,37.49925918,126.8976774
0,-,편의점,CU,CU 역삼점,서울 강남구 테헤란로51길 10,37.50477551,127.0469745
0,-,편의점,CU,CU 명륜성대점,서울 종로구 창경궁로 236,37.58264363,126.9988342
0,-,편의점,CU,CU 명일우량점,서울 강동구 동남로71길 38,37.55204234,127.1540681
0,-,편의점,CU,CU 영등포마사회점,서울 영등포구 영중로8길 14,37.51817871,126.9070159
0,-,편의점,CU,CU 상계주공점,서울 노원구 동일로 1345,37.64870518,127.061869
0,-,편의점,CU,CU 서초아이파크점,서울 서초구 서초대로77길 62,37.50273084,127.023903
0,-,편의점,CU,CU 국기원사거리점,서울 강남구 테헤란로8길 11,37.49821986,127.0316116
0,-,편의점,CU,CU 신림역점,서울 관악구 신림로 323,37.48322852,126.9295485
0,-,편의점,CU,CU 논현우람점,서울 강남구 강남대로128길 81,37.51255108,127.0279975
0,-,편의점,CU,CU 상봉사랑점,서울 중랑구 면목로92라길 15-2,37.59570438,127.0864622
0,-,편의점,CU,CU 강남시티점,서울 강남구 선릉로93길 50,37.50433681,127.0446396
0,-,편의점,CU,CU 삼양사거리역점,서울 강북구 삼양로 188,37.6206553,127.0208979
0,-,편의점,CU,CU 양재디오빌점,서울 강남구 강남대로 256,37.48648686,127.0335376
0,-,편의점,CU,CU 공덕역점,서울 마포구 백범로 178,37.54388177,126.9500762
0,-,편의점,CU,CU 잠실타워점,서울 송파구 올림픽로 293-19,37.51512339,127.1024804
0,-,편의점,CU,CU 구로디지털단지역점,서울 구로구 디지털로32길 97-22,37.48374241,126.9012919
0,-,편의점,CU,CU 명지대후문점,서울 서대문구 명지대1나길 1,37.5811622,126.9227854
0,-,편의점,CU,CU 학동역점,서울 강남구 학동로 224,37.51448311,127.0334993
