,store_id,store_type,store_brand,store_name,store_addr,store_geo_lat,store_geo_lng
0,-,토스트,이삭토스트,이삭토스트 강남점,서울 서초구 서초대로74길 23,37.49561193,127.027091
0,-,토스트,이삭토스트,이삭토스트 신사역점,서울 강남구 강남대로 594,37.51479317,127.0203296
0,-,토스트,이삭토스트,이삭토스트 구로디지털단지점,서울 구로구 시흥대로163길 33,37.48200021,126.8980997
0,-,토스트,이삭토스트,이삭토스트 서울홍대점,서울 마포구 와우산로 93,37.55276584,126.923975
0,-,토스트,이삭토스트,이삭토스트 양재역점,서울 강남구 남부순환로361길 7,37.48557193,127.0372792
0,-,토스트,이삭토스트,이삭토스트 서울발산점,서울 강서구 강서로47길 29,37.55269929,126.8345039
0,-,토스트,이삭토스트,이삭토스트 삼전동점,서울 송파구 백제고분로32길 6-1,37.50185109,127.0949959
0,-,토스트,이삭토스트,이삭토스트 서울신촌점,서울 서대문구 연세로5길 32,37.55636373,126.9353636
0,-,토스트,이삭토스트,이삭토스트 마포성산점,서울 마포구 성미산로 39,37.55904822,126.9123971
0,-,토스트,이삭토스트,이삭토스트 서울대입구역점,서울 관악구 관악로 184,37.48152123,126.9532273
0,-,토스트,이삭토스트,이삭토스트 수유역점,서울 강북구 오패산로 413,37.63743809,127.0261527
0,-,토스트,이삭토스트,이삭토스트 광흥창역점,서울 마포구 독막로 184,37.54724955,126.9339888
0,-,토스트,이삭토스트,이삭토스트 서울방학점,서울 도봉구 방학로 172,37.66257474,127.033208
0,-,토스트,이삭토스트,이삭토스트 응암이마트점,서울 은평구 은평로 96,37.59943033,126.9184641
0,-,토스트,이삭토스트,이삭토스트 신대방삼거리역점,서울 동작구 국사봉1길 7,37.49900614,126.9289441
0,-,토스트,이삭토스트,이삭토스트 논현역점,서울 서초구 사평대로55길 82-14,37.50783392,127.0217775
0,-,토스트,이삭토스트,이삭토스트 서울미성점,서울 관악구 난곡로 287,37.47962892,126.9146848
0,-,토스트,이삭토스트,이삭토스트 강동성심병원점,서울 강동구 성안로 155,37.53723615,127.1347595
0,-,토스트,이삭토스트,이삭토스트 돈암1동점,서울 성북구 북악산로 867,37.59860597,127.0206419
0,-,토스트,이삭토스트,이삭토스트 서울목동역점,서울 양천구 목동로 210,37.52738343,126.8644473
0,-,토스트,이삭토스트,이삭토스트 명일점,서울 강동구 동남로71길 38,37.55204234,127.1540681
0,-,토스트,이삭토스트,이삭토스트 신월뉴타운점,서울 양천구 신월로 175,37.5188435,126.8425396
0,-,토스트,이삭토스트,이삭토스트 까치산역점,서울 강서구 강서로 47,37.53196051,126.8463393
0,-,토스트,이삭토스트,이삭토스트 영등포점,서울 영등포구 영신로19길 17,37.51383387,126.9059615
0,-,토스트,이삭토스트,이삭토스트 노원역점,서울 노원구 상계로1길 24,37.6572155,127.0617034
0,-,토스트,이삭토스트,이삭토스트 서초역점,서울 서초구 반포대로27길 23,37.48973126,127.0069402
0,-,토스트,이삭토스트,이삭토스트 등촌2호점,서울 강서구 공항대로41길 66,37.56063175,126.8465793
0,-,토스트,이삭토스트,이삭토스트 용산전자상가점,서울 용산구 새창로 159,37.53369444,126.9628162
0,-,토스트,이삭토스트,이삭토스트 종로3가점,서울 종로구 수표로 98,37.56993897,126.9895987
0,-,토스트,이삭토스트,이삭토스트 신설동역점,서울 종로구 종로 393,37.5748473,127.020835
0,-,토스트,이삭토스트,이삭토스트 서울신당점,서울 중구 퇴계로 377,37.56525105,127.0134839
0,-,토스트,이삭토스트,이삭토스트 서울종암점,서울 성북구 종암로 132,37.60191974,127.0335179
0,-,토스트,이삭토스트,이삭토스트 구로3동점,서울 구로구 도림로20길 18,37.48897725,126.8924092
0,-,토스트,이삭토스트,이삭토스트 신림9동서울대점,서울 관악구 대학길 21,37.46976885,126.9380237
0,-,토스트,이삭토스트,이삭토스트 잠실역점,서울 송파구 올림픽로 269,37.51442735,127.1006114
0,-,토스트,이삭토스트,이삭토스트 서울고려대점,서울 성북구 고려대로24길 39,37.58441092,127.0295765
0,-,토스트,이삭토스트,이삭토스트 공릉점,서울 노원구 공릉로 196,37.62727265,127.0787831
0,-,토스트,이삭토스트,이삭토스트 행당점,서울 성동구 행당로 119,37.55827428,127.0321028
0,-,토스트,이삭토스트,이삭토스트 서울천왕역점,서울 구로구 오리로 1149,37.48660236,126.8382475
0,-,토스트,이삭토스트,이삭토스트 장안현대점,서울 동대문구 답십리로 304,37.57181423,127.0742187
0,-,토스트,이삭토스트,이삭토스트 문정로데오점,서울 송파구 동남로 99,37.48974274,127.1224969
0,-,토스트,이삭토스트,이삭토스트 건대로데오점,서울 광진구 아차산로30길 8,37.54040024,127.0676134
0,-,토스트,이삭토스트,이삭토스트 등촌아이파크점,서울 강서구 등촌로39길 6,37.54559643,126.8620399
0,-,토스트,이삭토스트,이삭토스트 서울서초구청점,서울 서초구 남부순환로347길 13,37.48496692,127.0316885
0,-,토스트,이삭토스트,이삭토스트 서울신정여상점,서울 강서구 등촌로13바길 34,37.53625501,126.8578328
0,-,토스트,이삭토스트,이삭토스트 서울신정점,서울 양천구 은행정로 15,37.52103637,126.8597028
0,-,토스트,이삭토스트,이삭토스트 녹번역점,서울 은평구 은평로 228,37.60089178,126.9328351
0,-,토스트,이삭토스트,이삭토스트 자양사거리점,서울 광진구 자양로 93,37.53598454,127.0835001
0,-,토스트,이삭토스트,이삭토스트 한남점,서울 용산구 대사관로 72,37.53309521,127.0059471
0,-,토스트,이삭토스트,이삭토스트 서소문점,서울 중구 서소문로11길 14,37.56352433,126.9730555
0,-,토스트,이삭토스트,이삭토스트 대치점,서울 강남구 대치동 930-16,37.49987845,127.0588595
0,-,토스트,이삭토스트,이삭토스트 서울전농사거리점,서울 동대문구 사가정로 136,37.5775936,127.059888
0,-,토스트,이삭토스트,이삭토스트 방이역점,서울 송파구 마천로 24,37.50947335,127.1235963
0,-,토스트,이삭토스트,이삭토스트 경복궁역점,서울 종로구 자하문로 11,37.57703219,126.9721058
0,-,토스트,이삭토스트,이삭토스트 이수역점,서울 동작구 동작대로25길 40,37.4855239,126.9802293
0,-,토스트,이삭토스트,이삭토스트 여의도KBS별관점,서울 영등포구 여의대방로 383,37.51934369,126.9315042
0,-,토스트,이삭토스트,이삭토스트 서울메가스터디타워점,서울 동작구 노량진로 140,37.51275688,126.9417006
0,-,토스트,이삭토스트,이삭토스트 숭실대점,서울 동작구 사당로 6-1,37.49534434,126.9551687
0,-,토스트,이삭토스트,이삭토스트 서울중랑역점,서울 중랑구 망우로 203,37.59399564,127.075009
0,-,토스트,이삭토스트,이삭토스트 영등포구청점,서울 영등포구 당산로 126,37.52585504,126.8968868
0,-,토스트,이삭토스트,이삭토스트 상봉이마트점,서울 중랑구 망우로60길 37,37.59710244,127.0942383
0,-,토스트,이삭토스트,이삭토스트 을지로4가역점,서울 중구 을지로33길 20,37.56729663,126.9994947
0,-,토스트,이삭토스트,이삭토스트 서울명동점,서울 중구 퇴계로 105,37.56086669,126.9834619
0,-,토스트,이삭토스트,이삭토스트 서울명동성당점,서울 중구 명동10길 17-1,37.56300339,126.9854814
0,-,토스트,이삭토스트,이삭토스트 목3동점,서울 양천구 목동중앙북로7길 6,37.54827448,126.8672435
0,-,토스트,이삭토스트,이삭토스트 서울망원시장점,서울 마포구 망원로8길 17,37.55673847,126.9061324
0,-,토스트,이삭토스트,이삭토스트 창천2호점,서울 서대문구 신촌로 9,37.55853234,126.9280475
0,-,토스트,이삭토스트,이삭토스트 창동역서부점,서울 도봉구 노해로65길 11,37.65181165,127.0461932
0,-,토스트,이삭토스트,이삭토스트 중곡점,서울 광진구 면목로 170,37.56824769,127.0826798
0,-,토스트,이삭토스트,이삭토스트 마포염리점,서울 마포구 백범로 138,37.54586132,126.9461065
0,-,토스트,이삭토스트,이삭토스트 보라매점,서울 관악구 보라매로 32,37.49228227,126.9269863
0,-,토스트,이삭토스트,이삭토스트 서울동국대점,서울 중구 서애로 12-6,37.56144275,126.9979401
0,-,토스트,이삭토스트,이삭토스트 개화산역점,서울 강서구 양천로14길 78,37.56984043,126.808887
0,-,토스트,이삭토스트,이삭토스트 서울삼양점,서울 강북구 솔샘로 213-2,37.6202164,127.0164869
0,-,토스트,이삭토스트,이삭토스트 광화문점,서울 종로구 세종대로23길 5,37.57156061,126.9760944
0,-,토스트,이삭토스트,이삭토스트 석계역점,서울 노원구 석계로3길 21,37.61596889,127.0635057
0,-,토스트,이삭토스트,이삭토스트 동서울터미널점,서울 광진구 강변역로4길 10,37.53534922,127.0934051
0,-,토스트,이삭토스트,이삭토스트 증산역점,서울 서대문구 증가로 260,37.58389038,126.9114612
0,-,토스트,이삭토스트,이삭토스트 성수2가점,서울 성동구 광나루로6길 35,37.54679973,127.0632967
0,-,토스트,이삭토스트,이삭토스트 이화여대점,서울 서대문구 이화여대7길 15,37.55865263,126.9447935
0,-,토스트,이삭토스트,이삭토스트 양천구청점,서울 양천구 목동서로 389,37.5157807,126.8611999
0,-,토스트,이삭토스트,이삭토스트 당산역점,서울 영등포구 양평로 36,37.53382147,126.9026712
0,-,토스트,이삭토스트,이삭토스트 방배동점,서울 서초구 방배로 113,37.48417775,126.995615
0,-,토스트,이삭토스트,이삭토스트 신길역점,서울 영등포구 도신로 231,37.51234161,126.9167419
0,-,토스트,이삭토스트,이삭토스트 송파일신여상점,서울 송파구 송파대로38길 3,37.50076436,127.1120935
0,-,토스트,이삭토스트,이삭토스트 연신내점,서울 은평구 연서로 284,37.62102333,126.9259577
0,-,토스트,이삭토스트,이삭토스트 선유도역점,서울 영등포구 양평로22길 8,37.53833835,126.894579
0,-,토스트,이삭토스트,이삭토스트 서울명지대점,서울 서대문구 거북골로 39,37.57914277,126.9235739
0,-,토스트,이삭토스트,이삭토스트 서울성균관대점,서울 종로구 성균관로 18,37.58440613,126.9976413
0,-,토스트,이삭토스트,이삭토스트 서울하계점,서울 노원구 노원로 254,37.6401995,127.0735423
0,-,토스트,이삭토스트,이삭토스트 경희대점,서울 동대문구 경희대로 9-1,37.59256129,127.0522303
0,-,토스트,이삭토스트,이삭토스트 마포용강점,서울 마포구 큰우물로 52,37.54205295,126.9442988
0,-,토스트,이삭토스트,이삭토스트 태릉입구역점,서울 노원구 동일로 986,37.6182161,127.075912
0,-,토스트,이삭토스트,이삭토스트 효창공원앞역점,서울 용산구 백범로 293,37.53932657,126.9618907
0,-,토스트,이삭토스트,이삭토스트 송파도서관점,서울 송파구 동남로 278,37.50029055,127.1367878
0,-,토스트,이삭토스트,이삭토스트 사가정역점,서울 중랑구 면목로48길 36,37.5820278,127.0906176
0,-,토스트,이삭토스트,이삭토스트 송파풍납점,서울 송파구 토성로 65,37.52890796,127.1173456
0,-,토스트,이삭토스트,이삭토스트 숙명여대점,서울 용산구 청파로47길 58,37.54492392,126.9672251
0,-,토스트,이삭토스트,이삭토스트 양평하이팰리스점,서울 영등포구 선유서로 67,37.52209338,126.8844551
0,-,토스트,이삭토스트,이삭토스트 가든파이브점,서울 송파구 충민로 66,37.47761484,127.1249618
0,-,토스트,이삭토스트,이삭토스트 서울갈현점,서울 은평구 갈현로29길 1,37.61916462,126.915035
