,store_id,store_type,store_brand,store_name,store_addr,store_geo_lat,store_geo_lng
0,-,드럭스토어,롭스,롭스 강남점,서울 강남구 봉은사로2길 31,37.50260963,127.0265441
0,-,드럭스토어,롭스,롭스 홍대점,서울 마포구 양화로18길 3,37.55703127,126.9245703
0,-,드럭스토어,롭스,롭스 가로수길점,서울 강남구 강남대로152길 45,37.51839445,127.0229862
0,-,드럭스토어,롭스,롭스 선릉점,서울 강남구 테헤란로 408,37.50446821,127.050387
0,-,드럭스토어,롭스,롭스 이수점,서울 동작구 동작대로 119,37.48725122,126.9818756
0,-,드럭스토어,롭스,롭스 구로점,서울 관악구 시흥대로 576,37.48406599,126.9030763
0,-,드럭스토어,롭스,롭스 안암점,서울 성북구 고려대로24길 6,37.58597126,127.0292126
0,-,드럭스토어,롭스,롭스 신논현점,서울 강남구 강남대로 502,37.50713266,127.0236764
0,-,드럭스토어,롭스,롭스 화곡점,서울 강서구 화곡로 161,37.54183231,126.8391664
0,-,드럭스토어,롭스,롭스 이태원점,서울 용산구 이태원로 179,37.5348144,126.9937352
0,-,드럭스토어,롭스,롭스 왕십리역사점,서울 성동구 왕십리광장로 17,37.56144175,127.0383942
0,-,드럭스토어,롭스,롭스 수유점,서울 강북구 도봉로 342,37.63803455,127.0261287
0,-,드럭스토어,롭스,롭스 당산점,서울 영등포구 양평로 48,37.53447932,126.9012953
0,-,드럭스토어,롭스,롭스 잠실캐슬점,서울 송파구 올림픽로 269,37.51442735,127.1006114
0,-,드럭스토어,롭스,롭스 한티역점,서울 강남구 선릉로64길 19,37.49824749,127.0538633
0,-,드럭스토어,롭스,롭스 건대로데오점,서울 광진구 동일로20길 106,37.53952037,127.0692485
0,-,드럭스토어,롭스,롭스 용산역점,서울 용산구 한강대로23길 55,37.5297718,126.9647415
0,-,드럭스토어,롭스,롭스 미아점,서울 강북구 도봉로 45,37.61314356,127.0294532
0,-,드럭스토어,롭스,롭스 이대점,서울 서대문구 이화여대길 59,37.55898815,126.945159
0,-,드럭스토어,롭스,롭스 강남엔터점,서울 서초구 신반포로 지하,37.50497785,127.0049714
0,-,드럭스토어,롭스,롭스 롯데마트서울역점,서울 중구 한강대로 405,37.55472785,126.9695263
0,-,드럭스토어,롭스,롭스 홍대역점,서울 마포구 양화로 156,37.55611306,126.9234466
0,-,드럭스토어,롭스,롭스 신천점,서울 송파구 올림픽로 114,37.51138903,127.083187
0,-,드럭스토어,롭스,롭스 영플라자명동점,서울 중구 남대문로 67,37.56348677,126.9815302
0,-,드럭스토어,롭스,롭스 잠실점,서울 송파구 올림픽로 240,37.51130961,127.0981418
0,-,드럭스토어,롭스,롭스 롯데마트금천점,서울 금천구 시흥대로 291,37.46002526,126.8972353
0,-,드럭스토어,롭스,롭스 롯데몰은평점,서울 은평구 통일로 1050,37.63753667,126.9179003
0,-,드럭스토어,롭스,롭스 월드몰1호점,서울 송파구 올림픽로 300,37.51375196,127.1044469
0,-,드럭스토어,롭스,롭스 롯데마트잠실점,서울 송파구 올림픽로 240,37.51130961,127.0981418
0,-,드럭스토어,롭스,롭스 을지로입구역사점,서울 중구 을지로 지하,37.56623646,126.9820544
0,-,드럭스토어,롭스,롭스 월드몰2호점,서울 송파구 올림픽로 300,37.51375196,127.1044469
0,-,"법률,행정",롭스,롭스앤그레이,서울 강남구 테헤란로 134,37.49937533,127.0338034
