,store_id,store_type,store_brand,store_name,store_addr,store_geo_lat,store_geo_lng
0,-,편의점,미니스톱,미니스톱 한강여의나루점,서울 영등포구 여의동로 330,37.52634783,126.9335952
0,-,편의점,미니스톱,미니스톱 한강난지2점,서울 마포구 마포나루길 216,37.56483061,126.8790183
0,-,편의점,미니스톱,미니스톱 여의IFC점,서울 영등포구 국제금융로2길 7,37.52464906,126.9268386
0,-,편의점,미니스톱,미니스톱 논현한바위점,서울 강남구 강남대로118길 30,37.50685922,127.0257676
0,-,편의점,미니스톱,미니스톱 사당역점,서울 서초구 방배천로 5-3,37.47704924,126.9822576
0,-,편의점,미니스톱,미니스톱 홍대입구역점,서울 마포구 월드컵북로2길 29,37.55663043,126.9223595
0,-,편의점,미니스톱,미니스톱 강남센터점,서울 강남구 강남대로96길 5,37.49982117,127.0274572
0,-,편의점,미니스톱,미니스톱 역삼타워점,서울 강남구 강남대로84길 16,37.49669,127.0300257
0,-,편의점,미니스톱,미니스톱 한강난지1점,서울 마포구 마포나루길 316,37.56011125,126.888215
0,-,편의점,미니스톱,미니스톱 구로공단역점,서울 구로구 디지털로32나길 35,37.48471269,126.9008438
0,-,편의점,미니스톱,미니스톱 신사만남점,서울 강남구 강남대로152길 26,37.51754957,127.0215603
0,-,편의점,미니스톱,미니스톱 동교스텔라점,서울 마포구 월드컵북로 20,37.55671886,126.920132
0,-,편의점,미니스톱,미니스톱 마포센터점,서울 마포구 새창로 7,37.54247953,126.950924
0,-,편의점,미니스톱,미니스톱 종로충신점,서울 종로구 율곡로 235,37.57587364,127.0050354
0,-,편의점,미니스톱,미니스톱 한강견우점,서울 용산구 양녕로 496,37.52118061,126.961427
0,-,편의점,미니스톱,미니스톱 삼성현대점,서울 강남구 영동대로106길 9,37.5135057,127.0618467
0,-,편의점,미니스톱,미니스톱 신길점,서울 영등포구 도림로 322,37.50634278,126.9019142
0,-,편의점,미니스톱,미니스톱 수유노해점,서울 강북구 노해로 56,37.64066397,127.0227471
