,store_id,store_type,store_brand,store_name,store_addr,store_geo_lat,store_geo_lng
0,-,샌드위치,써브웨이,써브웨이 강남역점,서울 강남구 강남대로96길 12,37.49973913,127.0280734
0,-,샌드위치,써브웨이,써브웨이 발산역점,서울 강서구 마곡중앙6로 93,37.56013568,126.8376979
0,-,샌드위치,써브웨이,써브웨이 잠실역점,서울 송파구 올림픽로 293-19,37.51512339,127.1024804
0,-,샌드위치,써브웨이,써브웨이 노원점,서울 노원구 노해로 502,37.65445005,127.0636923
0,-,샌드위치,써브웨이,써브웨이 선릉점,서울 강남구 테헤란로 337,37.50479491,127.0484575
0,-,샌드위치,써브웨이,써브웨이 강남구청역점,서울 강남구 선릉로 653,37.51488598,127.0418648
0,-,샌드위치,써브웨이,써브웨이 망우점,서울 중랑구 용마산로115길 127,37.59752321,127.0936689
0,-,샌드위치,써브웨이,써브웨이 논현역점,서울 서초구 강남대로 535,37.50960902,127.0215987
0,-,샌드위치,써브웨이,써브웨이 홍대점,서울 마포구 홍익로 10,37.55376198,126.9236938
0,-,샌드위치,써브웨이,써브웨이 삼성점,서울 강남구 삼성로 520,37.5087063,127.0559201
0,-,샌드위치,써브웨이,써브웨이 고덕역점,서울 강동구 동남로75길 13-10,37.55391965,127.1550392
0,-,샌드위치,써브웨이,써브웨이 송파역점,서울 송파구 송파대로 374,37.50133066,127.1112186
0,-,샌드위치,써브웨이,써브웨이 천호점,서울 강동구 올림픽로 664,37.54055538,127.1249758
0,-,샌드위치,써브웨이,써브웨이 가양역점,서울 강서구 양천로 470,37.56206474,126.8524822
0,-,샌드위치,써브웨이,써브웨이 낙성대역점,서울 관악구 남부순환로 1904,37.47786558,126.9606899
0,-,샌드위치,써브웨이,써브웨이 압구정역점,서울 강남구 압구정로28길 13,37.52566584,127.0278539
0,-,샌드위치,써브웨이,써브웨이 석촌호수점,서울 송파구 석촌호수로 298,37.51156602,127.1081705
0,-,샌드위치,써브웨이,써브웨이 가산디지털단지점,서울 금천구 가산디지털1로 165,37.48022756,126.8810275
0,-,샌드위치,써브웨이,써브웨이 종로점,서울 종로구 종로 77,37.57042433,126.9860351
0,-,샌드위치,써브웨이,써브웨이 신논현역점,서울 서초구 강남대로 499,37.50651794,127.023045
0,-,샌드위치,써브웨이,써브웨이 군자역점,서울 광진구 능동로 290,37.5555833,127.0789792
0,-,샌드위치,써브웨이,써브웨이 여의도화재보험점,서울 영등포구 국제금융로6길 38,37.5213851,126.9259953
0,-,샌드위치,써브웨이,써브웨이 문정역점,서울 송파구 법원로 114,37.48605528,127.1210094
0,-,샌드위치,써브웨이,써브웨이 역삼점,서울 강남구 테헤란로25길 20,37.501631,127.0356518
