,store_id,store_type,store_brand,store_name,store_addr,store_geo_lat,store_geo_lng
0,-,편의점,세븐일레븐,세븐일레븐 한남UN점,서울 용산구 독서당로 86,37.53428326,127.0100947
0,-,편의점,세븐일레븐,세븐일레븐 천호사거리점,서울 강동구 천호대로157길 26,37.53883748,127.1275523
0,-,편의점,세븐일레븐,세븐일레븐 홍대스타점,서울 마포구 어울마당로 74,37.55155976,126.9216316
0,-,편의점,세븐일레븐,세븐일레븐 공릉점,서울 노원구 공릉로 101,37.61930144,127.0778417
0,-,편의점,세븐일레븐,세븐일레븐 방배8호점,서울 서초구 방배중앙로 185,37.49556903,126.9856267
0,-,편의점,세븐일레븐,세븐일레븐 마포구청점,서울 마포구 월드컵로 204,37.56539921,126.9021318
0,-,편의점,세븐일레븐,세븐일레븐 연남숲길점,서울 마포구 성미산로23길 16-5 지하 101호,37.5644946,126.9214076
0,-,편의점,세븐일레븐,세븐일레븐 방이5호점,서울 송파구 위례성대로16길 21,37.51085901,127.1243665
0,-,편의점,세븐일레븐,세븐일레븐 당산역본점,서울 영등포구 당산로 237 그린빌오피스텔 101호,37.53491501,126.9022327
0,-,편의점,세븐일레븐,세븐일레븐 역삼언주로점,서울 강남구 언주로85길 24 1층,37.50101405,127.0412592
0,-,편의점,세븐일레븐,세븐일레븐 연트럴파크점,"서울 마포구 양화로19길 14 1,2층",37.5581466,126.9242383
0,-,편의점,세븐일레븐,세븐일레븐 무교점,서울 중구 무교로 12,37.56704661,126.9793757
0,-,편의점,세븐일레븐,세븐일레븐 DH아너힐즈점,서울 강남구 삼성로 11 디에이치아너힐즈 지하1층 101호,37.48413451,127.0680925
0,-,편의점,세븐일레븐,세븐일레븐 소공점,서울 중구 남대문로7길 11,37.56368927,126.9812495
0,-,편의점,세븐일레븐,세븐일레븐 홍익대2호점,서울 마포구 와우산로 63,37.55027278,126.9228786
0,-,편의점,세븐일레븐,세븐일레븐 봉천1호점,서울 관악구 남부순환로 1766,37.48170083,126.9461146
0,-,편의점,세븐일레븐,세븐일레븐 서초교대역점,서울 서초구 서초중앙로 122,37.49269457,127.0141486
0,-,편의점,세븐일레븐,세븐일레븐 서강대르메이에르점,서울 마포구 백범로 13,37.55344726,126.9374964
0,-,편의점,세븐일레븐,세븐일레븐 사당역점,서울 관악구 남현1길 66,37.47571846,126.9811238
0,-,편의점,세븐일레븐,세븐일레븐 대치삼화점,서울 강남구 테헤란로114길 20 1층 101호,37.50835433,127.0667641
0,-,편의점,세븐일레븐,세븐일레븐 역삼한서점,서울 강남구 테헤란로38길 11 유정빌딩,37.50129588,127.0417826
0,-,편의점,세븐일레븐,세븐일레븐 세종대로카페점,"서울 중구 세종대로 76-1 1, 2층",37.56295545,126.9769402
0,-,편의점,세븐일레븐,세븐일레븐 신사5호점,서울 강남구 강남대로162길 45,37.52114396,127.0219842
0,-,편의점,세븐일레븐,세븐일레븐 당인동점,서울 마포구 어울마당로 26,37.54749998,126.9199324
0,-,편의점,세븐일레븐,세븐일레븐 리버파크점,"서울 동작구 만양로3길 20 신동아리버파크빌 2층 2동 201,202호",37.50821071,126.9461189
0,-,편의점,세븐일레븐,세븐일레븐 서초샤르망점,서울 서초구 효령로55길 28,37.48613276,127.0144795
0,-,편의점,세븐일레븐,세븐일레븐 마포성산점,서울 마포구 성미산로 23,37.5587302,126.9108722
0,-,편의점,세븐일레븐,세븐일레븐 성북본점,서울 성북구 한천로99길 45 1층 101호,37.62045607,127.0498253
0,-,편의점,세븐일레븐,세븐일레븐 서울복합물류단지점,서울 송파구 송파대로 55 B동 1층,37.47416467,127.1238818
0,-,편의점,세븐일레븐,세븐일레븐 교대역사거리점,서울 서초구 서초중앙로 138,37.49424387,127.0139672
0,-,편의점,세븐일레븐,세븐일레븐 양재4호점,서울 서초구 매헌로 42,37.46470281,127.0344023
0,-,편의점,세븐일레븐,세븐일레븐 연희점,서울 서대문구 연희로 177 연희빌딩,37.57302353,126.9352478
0,-,편의점,세븐일레븐,세븐일레븐 교대역점,서울 서초구 서초대로50길 24 청화빌딩 1층,37.49208816,127.0128184
0,-,편의점,세븐일레븐,세븐일레븐 풍납사거리점,서울 송파구 올림픽로 509,37.52786986,127.1183916
0,-,편의점,세븐일레븐,세븐일레븐 역삼한은점,서울 강남구 테헤란로 204 1층,37.5010077,127.0387269
0,-,편의점,세븐일레븐,세븐일레븐 강서등촌점,서울 강서구 공항대로41길 43 새한프라자101호,37.55990735,126.8455409
0,-,편의점,세븐일레븐,세븐일레븐 서초중앙점,서울 서초구 반포대로23길 14 매강빌딩 1층,37.48910941,127.0079817
0,-,편의점,세븐일레븐,세븐일레븐 서교한우물점,서울 마포구 잔다리로 111 1층,37.55681606,126.9140718
0,-,편의점,세븐일레븐,세븐일레븐 방배효령점,서울 서초구 효령로 165,37.48253815,127.0022379
0,-,편의점,세븐일레븐,세븐일레븐 평창점,서울 종로구 평창11길 17,37.60696451,126.9659579
0,-,편의점,세븐일레븐,세븐일레븐 상암KLID타워점,서울 마포구 성암로 301 1층,37.58246872,126.8879375
0,-,편의점,세븐일레븐,세븐일레븐 청담7호점,서울 강남구 도산대로96길 13,37.52366286,127.0509618
0,-,편의점,세븐일레븐,세븐일레븐 봉천해주점,서울 관악구 봉천로 466 해주타워 1층,37.48202101,126.9516382
0,-,편의점,세븐일레븐,세븐일레븐 여의점,서울 영등포구 여의서로 43 203호,37.5305378,126.9248115
0,-,편의점,세븐일레븐,세븐일레븐 공릉시장점,서울 노원구 동일로 1040 서창빌딩 1층,37.62293008,127.0741967
0,-,편의점,세븐일레븐,세븐일레븐 면목점,서울 중랑구 면목로 456,37.59256789,127.0868969
0,-,편의점,세븐일레븐,세븐일레븐 역삼코넬점,서울 강남구 언주로93길 28-8,37.50390063,127.0396183
0,-,편의점,세븐일레븐,세븐일레븐 양재시민의숲역점,서울 서초구 강남대로12길 23-48,37.47040709,127.0396471
0,-,편의점,세븐일레븐,세븐일레븐 종로향기점,서울 종로구 난계로29길 28,37.5742815,127.0216546
0,-,편의점,세븐일레븐,세븐일레븐 홍대클럽점,서울 마포구 어울마당로 58 1층,37.55010497,126.9212962
0,-,편의점,세븐일레븐,세븐일레븐 광산사거리점,서울 강북구 한천로 1081,37.64247409,127.0229679
0,-,편의점,세븐일레븐,세븐일레븐 도선까페점,서울 성동구 왕십리로 326 1층 101호,37.56275336,127.0338951
0,-,편의점,세븐일레븐,세븐일레븐 강서화곡점,서울 강서구 곰달래로 111,37.530626,126.8452803
0,-,편의점,세븐일레븐,세븐일레븐 청담그린점,서울 강남구 도산대로81길 39,37.52672398,127.0466871
0,-,편의점,세븐일레븐,세븐일레븐 역삼18호점,서울 강남구 도곡로37길 16,37.49484129,127.0451247
0,-,편의점,세븐일레븐,세븐일레븐 마포노고산점,서울 마포구 신촌로14길 5,37.55566802,126.9339824
0,-,편의점,세븐일레븐,세븐일레븐 L7강남점,"서울 강남구 테헤란로 415 B101, 102호",37.50578859,127.0515416
0,-,편의점,세븐일레븐,세븐일레븐 영등포역점,서울 영등포구 영신로20길 4,37.514939,126.9082061
0,-,편의점,세븐일레븐,세븐일레븐 마포합정점,서울 마포구 양화로 27,37.54915075,126.9122625
0,-,편의점,세븐일레븐,세븐일레븐 동묘제일점,서울 종로구 종로 371,37.57413751,127.0185993
0,-,편의점,세븐일레븐,세븐일레븐 대치6호점,서울 강남구 삼성로85길 19 대치빌딩 1층,37.50471828,127.0557263
0,-,편의점,세븐일레븐,세븐일레븐 역삼보브점,서울 강남구 봉은사로 114,37.50471033,127.0261126
0,-,편의점,세븐일레븐,세븐일레븐 동교숲길점,서울 마포구 동교로 232 1층,37.56058357,126.9244691
0,-,편의점,세븐일레븐,세븐일레븐 강서화곡중앙점,서울 강서구 화곡로 130,37.54022607,126.8361991
0,-,편의점,세븐일레븐,세븐일레븐 논현14호점,서울 강남구 논현로149길 35,37.51762244,127.0257357
0,-,편의점,세븐일레븐,세븐일레븐 시그니처타워점,서울 중구 청계천로 100 시그니처타워 지하 1층,37.56749996,126.9884221
0,-,편의점,세븐일레븐,세븐일레븐 중국대사관점,"서울 중구 남대문로 68 1,2층",37.56323235,126.9822752
0,-,편의점,세븐일레븐,세븐일레븐 롯데캐논점,서울 강남구 테헤란로 607,37.50951094,127.0640016
0,-,편의점,세븐일레븐,세븐일레븐 오금본점,서울 송파구 위례성대로 180 한국유도원빌딩 1층,37.51012917,127.1309722
0,-,편의점,세븐일레븐,세븐일레븐 등촌현대점,서울 강서구 공항대로61길 13,37.55169915,126.8653934
0,-,편의점,세븐일레븐,세븐일레븐 고대본점,서울 성북구 고려대로24길 52 고려빌딩 1층,37.58382705,127.0293202
0,-,편의점,세븐일레븐,세븐일레븐 홍대역점,서울 마포구 홍익로 19,37.5540115,126.9226326
0,-,편의점,세븐일레븐,세븐일레븐 여의중앙점,서울 영등포구 국제금융로8길 19,37.52076155,126.9291366
0,-,편의점,세븐일레븐,세븐일레븐 압구정본점,서울 강남구 논현로157길 26 101호,37.5221189,127.0259092
0,-,편의점,세븐일레븐,세븐일레븐 상봉망우점,서울 중랑구 상봉로 108,37.59544203,127.0932927
0,-,편의점,세븐일레븐,세븐일레븐 망원망리단길점,서울 마포구 망원로6길 49 1층,37.55477083,126.9039521
