,지점명,지점주소
0,CU 시청광장점,서울 중구 을지로 6
1,CU 공군회관점,서울 동작구 알마타길 6 공군관사내 1층상업시설 106호
2,CU 한강여의도1호점,서울 영등포구 여의도동 86-5 1층
3,CU 마곡푸르지오점,서울 강서구 마곡중앙6로 10 마곡역 센트럴푸르지오시티 오피스텔
4,CU 역삼센타점,서울 강남구 역삼로9길 28
5,CU 양재점,서울 강남구 강남대로 238
6,CU 서초그린점,서울 서초구 잠원로3길 40
7,CU 역삼에클라트점,서울 강남구 테헤란로20길 19
8,CU 역삼벚꽃길점,서울 강남구 도곡로7길 8 서울특송현빌딩
9,CU 금천예스점,서울 금천구 가산로3길 13 1층
10,CU 영등포마사회점,서울 영등포구 영중로8길 14
11,CU 논현우람점,서울 강남구 강남대로128길 81 남원빌딩1층
12,CU 역삼시티점,서울 강남구 테헤란로7길 7 1층
13,CU 국기원사거리점,서울 강남구 테헤란로8길 11
14,CU 서초아이파크점,서울 서초구 서초대로77길 62 아이파크에비뉴 G110호
15,CU 구로디지털단지역점,서울 구로구 디지털로32길 97-22
16,CU 잠실타워점,서울 송파구 올림픽로 293-19 현대타워 1층 101-2호
17,CU 역삼신웅점,서울 강남구 테헤란로 216 신웅타워 101호
18,CU 명일우량점,서울 강동구 동남로71길 38 1층
19,CU 양재디오빌점,서울 강남구 강남대로 256 대우양재디오빌 103호
20,CU 논현힐탑점,서울 강남구 학동로30길 39
21,CU 대림중앙점,서울 영등포구 대림로 209
22,CU 을지로3가점,서울 중구 충무로 53-1 남강빌딩 1층
23,CU 용산앰버서더호텔점,서울 용산구 청파로20길 95
24,CU 공덕역점,서울 마포구 백범로 178
25,CU 대치삼성점,서울 강남구 도곡로 516 삼성상가
26,CU 강남시티점,서울 강남구 선릉로93길 50
27,CU 상계주공점,서울 노원구 동일로 1345
28,CU 역삼미래점,서울 강남구 테헤란로33길 32 SO근생주택빌딩
29,CU 명륜성대점,서울 종로구 창경궁로 236
30,CU 상봉사랑점,서울 중랑구 면목로92라길 15-2
31,CU 화곡청산점,서울 강서구 화곡로 158
32,CU 신림역점,서울 관악구 신림로 323
33,CU 논현SK점,서울 강남구 학동로 342 SK허브블루
34,CU 신사성환점,서울 강남구 강남대로152길 14
35,CU 역삼점,서울 강남구 테헤란로51길 10
36,CU 구로미래지오점,서울 구로구 디지털로32나길 17-45 1층
37,CU 수유시장점,서울 강북구 도봉로 237 1층
38,CU 종로공평점,서울 종로구 삼봉로 100
39,CU 은평한옥마을점,서울 은평구 진관길 9 1층
40,CU 논현두산위브점,서울 강남구 언주로122길 28 ME만남의집
41,CU 강남논현타운점,서울 강남구 강남대로114길 25
42,CU 신논현타워점,서울 서초구 강남대로 479
43,CU 청계산입구역점,서울 서초구 청계산로 217
44,CU 여의도점,"서울 영등포구 여의대방로 394 우정빌딩 105,106호"
45,CU 독산마차길점,서울 금천구 두산로 50 1층
46,CU 송파세륜점,서울 송파구 위례성대로22길 24
47,CU 남대문로5가점,서울 중구 세종대로 8-1
48,CU 삼성1호점,서울 강남구 테헤란로69길 9
49,CU 서교제일점,서울 마포구 월드컵북로1길 42
50,CU 학동역점,서울 강남구 학동로 224 아르누보상가 B109A호
51,CU 헬리오시티4블록점,서울 송파구 송파대로 345
52,CU 잠원한아름점,서울 서초구 강남대로95길 47-9
53,CU 홍대센타점,서울 마포구 와우산로 83
54,CU 오벨리스크점,서울 서초구 서초대로74길 27 강남역 한화오벨리스크상가 102
55,CU 강동센트럴점,서울 강동구 구천면로 328
56,CU 합정태양점,서울 마포구 양화로6길 67
57,CU 방학역점,서울 도봉구 도봉로 728
58,CU 서초효령점,서울 서초구 반포대로14길 42 오영빌딩 1층
59,CU 논현아성점,서울 강남구 봉은사로 219
60,CU 가오리사거리점,서울 강북구 삼각산로22길 2
61,CU 홍대3호점,서울 마포구 와우산로29길 16
62,CU 신촌역점,서울 서대문구 신촌로 107 1층
63,CU 성수프리미어점,서울 성동구 서울숲길 51
64,CU 이태원해밀턴점,서울 용산구 보광로 126
65,CU 강북수유점,서울 강북구 노해로 23 1층
66,CU 홍대서교점,서울 마포구 와우산로29길 70
67,CU 서초쌍용점,서울 서초구 서초중앙로 18 서초쌍용플래티넘 109
68,CU 화곡이슬점,서울 강서구 곰달래로24길 19 1층
69,CU 역삼하나점,서울 강남구 테헤란로25길 59 1층
70,CU 마곡보타닉푸르지오1점,서울 강서구 마곡중앙5로 6 마곡나루역보타닉푸르지오시티 1층 1동 147호
