,지점명,지점주소
0,GS25 한강반포1호점,서울 서초구 잠원동 122-1 한강시민공원 1층
1,GS25 한강반포2호점,서울 서초구 반포동 115-5 한강시민공원 1층
2,GS25 강남동원점,서울 강남구 테헤란로77길 7
3,GS25 서울역점,서울 용산구 한강대로 401
4,GS25 강남YBM점,서울 강남구 강남대로94길 9
5,GS25 삼성역점,서울 강남구 영동대로 510
6,GS25 종로사직점,서울 종로구 자하문로 19-1
7,GS25 강남프리미엄점,서울 서초구 서초대로77길 13 1층
8,GS25 건대제일점,서울 광진구 아차산로25길 7
9,GS25 한강뚝섬3호점,서울 광진구 자양동 99-2 1층
10,GS25 망원희망점,서울 마포구 희우정로16길 7
11,GS25 연대2점,서울 서대문구 연세로9길 8
12,GS25 여의에클라트점,서울 영등포구 국회대로 780
13,GS25 한강양화4호점,서울 영등포구 노들로 99
14,GS25 지에스본점,서울 강남구 논현로93길 3 호양빌딩 1층
15,GS25 종로낙원점,서울 종로구 수표로 123-4
16,GS25 서초반포점,서울 서초구 서초중앙로31길 6-9 1층
17,GS25 잠실점,서울 송파구 오금로11길 29
18,GS25 잠실한강2호점,서울 송파구 잠실동 1-1
19,GS25 역삼소망점,서울 강남구 봉은사로26길 26
20,GS25 관악봉천점,서울 관악구 관악로17길 25
21,GS25 화곡까치산점,서울 강서구 강서로17길 29
22,GS25 파르나스타워점,서울 강남구 테헤란로 521 1층
23,GS25 연희점,서울 서대문구 증가로 21-1 1층
24,GS25 무교YG타워점,서울 중구 남대문로9길 40
25,GS25 고속터미널역점,서울 서초구 신반포로 176
26,GS25 청담중앙점,서울 강남구 선릉로148길 32
27,GS25 압구정역점,서울 강남구 압구정로28길 18 동헌빌딩1층
28,GS25 논현정노점,서울 강남구 봉은사로25길 37 1층
29,GS25 노원구점,서울 노원구 노해로75길 14-26
30,GS25 논현동우점,서울 강남구 봉은사로37길 13
31,GS25 신사성원점,서울 강남구 도산대로11길 34
32,GS25 한강뚝섬1호점,서울 광진구 자양동 427-13 1층
33,GS25 청량대일점,서울 동대문구 왕산로 178
34,GS25 노고산호호점,서울 마포구 신촌로20길 12
35,GS25 양재공원점,서울 서초구 강남대로12길 49
36,GS25 역삼싱아점,서울 강남구 논현로72길 13 1층
37,GS25 신림역점,서울 관악구 남부순환로 1617
38,GS25 서초여신점,서울 서초구 강남대로53길 7
39,GS25 경희점,서울 동대문구 경희대로3길 2
40,GS25 행당점,서울 성동구 왕십리로 319
41,GS25 신촌점,서울 서대문구 신촌로 87-18 1층
42,GS25 사당남사점,서울 동작구 동작대로17길 10
43,GS25 홍대아트점,서울 마포구 홍익로 25
44,GS25 논현영동점,서울 강남구 학동로2길 19 1층
45,GS25 역삼본점,서울 강남구 테헤란로29길 10
46,GS25 역삼지에스점,서울 강남구 봉은사로30길 78
47,GS25 도곡점,서울 강남구 남부순환로 2730
48,GS25 홍대잔다리점,서울 마포구 잔다리로 40
49,GS25 목동희망점,서울 양천구 오목로 322 1층 B호
50,GS25 구의법원점,서울 광진구 아차산로 395 106호
51,GS25 구로미성점,서울 구로구 구로중앙로 228 기임빌딩 101호
52,GS25 서울극장점,서울 종로구 돈화문로 11-1
53,GS25 서대문창천점,서울 서대문구 신촌로 3
54,GS25 망우본점,서울 중랑구 망우로67길 7
55,GS25 청담사거리점,서울 강남구 도산대로 510 1층
56,GS25 연남타운점,서울 마포구 월드컵북로6길 69
57,GS25 문정중앙점,서울 송파구 문정로4길 10-30
58,GS25 트윈테크점,서울 금천구 가산디지털1로 119
59,GS25 압구정신사점,서울 강남구 도산대로33길 8
60,GS25 삼성메디슨점,서울 강남구 테헤란로104길 31 1층
61,GS25 강남본점,서울 강남구 테헤란로2길 8
62,GS25 신도림점,서울 구로구 공원로6가길 52
63,GS25 송파중앙점,서울 송파구 백제고분로46길 4
64,GS25 종로내수점,서울 종로구 새문안로3길 36
65,GS25 북창점,서울 중구 남대문로1길 26
66,GS25 로데오점,서울 강남구 선릉로161길 31
