,지점명,지점주소
0,맥도날드 서울시청점,서울 중구 남대문로9길 51 1층
1,맥도날드 강남2호점,서울 강남구 테헤란로 107 메디타워 2층
2,맥도날드 등촌DT점,서울 강서구 양천로 546
3,맥도날드 강남삼성DT점,서울 강남구 봉은사로 432
4,맥도날드 홍익대점,서울 마포구 양화로 140 2층
5,맥도날드 양재SK DT점,서울 서초구 바우뫼로 178
6,맥도날드 청담DT점,서울 강남구 도산대로 407
7,맥도날드 서울시흥DT점,서울 금천구 시흥대로 184
8,맥도날드 신림점,서울 관악구 신림로 310
9,맥도날드 송파잠실DT점,서울 송파구 도곡로 434
10,맥도날드 서울둔촌DT점,서울 강동구 양재대로 1382
11,맥도날드 종암SK점,서울 성북구 종암로 58
12,맥도날드 양평SK점,서울 영등포구 선유로 195
13,맥도날드 잠실역점,서울 송파구 송파대로 558
14,맥도날드 신사역,서울 강남구 도산대로 123 2층
15,맥도날드 석촌역점,서울 송파구 백제고분로 390
16,맥도날드 우장산DT점,서울 강서구 강서로 216
17,맥도날드 고척DT점,서울 구로구 경인로 393
18,맥도날드 신월DT점,서울 양천구 남부순환로 404
19,맥도날드 서초GS점,서울 서초구 반포대로 69
20,맥도날드 양천구청DT점,서울 양천구 목동동로 71
21,맥도날드 상계DT점,서울 노원구 동일로 1612
22,맥도날드 굽은다리역DT점,서울 강동구 양재대로 1587
23,맥도날드 노량진점,서울 동작구 노량진로 158
24,맥도날드 서울번동DT점,서울 강북구 월계로 191
25,맥도날드 구로디지털,서울 구로구 디지털로31길 12 태평양물산 1층
26,맥도날드 서울상암DMC점,서울 마포구 월드컵북로 400
27,맥도날드 위례신도시점,서울 송파구 위례광장로 290 위례중앙푸르지오2단지 상가 1층 119~122호
28,맥도날드 명동점,서울 중구 명동7길 8 1층
29,맥도날드 공덕점,서울 마포구 마포대로 53 마포트라펠리스 1층
30,맥도날드 신천점,서울 송파구 올림픽로 108
31,맥도날드 서울교대점,서울 서초구 서초대로 316
32,맥도날드 염창DT점,서울 강서구 공항대로71길 3
33,맥도날드 어린이대공원점,서울 광진구 광나루로 392
34,맥도날드 연세대점,서울 서대문구 연세로 33
35,맥도날드 여의도점,서울 영등포구 국제금융로 10 IFC몰 B326호
36,맥도날드 이수점,서울 동작구 사당로 300
37,맥도날드 보라매,서울 영등포구 여의대방로 145
38,맥도날드 종로3가점,서울 종로구 종로 115
39,맥도날드 삼성역점,서울 강남구 삼성로92길 29 지하1층
40,맥도날드 이태원점,서울 용산구 이태원로 142-1
41,맥도날드 영등포점,서울 영등포구 경인로 855
42,맥도날드 서초뱅뱅점,서울 서초구 강남대로 305 현대렉시온 101호
43,맥도날드 미아DT점,서울 강북구 삼양로 158
44,맥도날드 선릉점,서울 강남구 테헤란로 326 I타워 103호
45,맥도날드 양재점,서울 서초구 강남대로 213
46,맥도날드 전농점,서울 동대문구 전농로 146
47,맥도날드 쌍문DT점,서울 도봉구 도봉로 541
48,맥도날드 신월남부DT점,서울 양천구 남부순환로 553
49,맥도날드 강남구청점,서울 강남구 선릉로 667
50,맥도날드 수유점,서울 강북구 도봉로 342
51,맥도날드 연신내점,서울 은평구 연서로 213
52,맥도날드 가락DT점,서울 송파구 동남로 196
53,맥도날드 학동역점,서울 강남구 논현로 667
54,맥도날드 숭실대점,서울 동작구 사당로 22
55,맥도날드 상일동점,서울 강동구 상일로6길 39
56,맥도날드 과학기술대점,서울 노원구 공릉로 231
57,맥도날드 신내,서울 중랑구 봉화산로 194 신아타운1층
58,맥도날드 망원점,서울 마포구 월드컵로 81
59,맥도날드 중랑점,서울 중랑구 망우로 202 동성빌딩
60,맥도날드 안암점,서울 성북구 고려대로24길 42
61,맥도날드 안국역,서울 종로구 율곡로 45
62,맥도날드 방배점,서울 서초구 방배로 81
63,맥도날드 강동구청,서울 강동구 성내로 15 삼육빌딩 1층
64,맥도날드 홍제역점,서울 서대문구 통일로 442-1
65,맥도날드 장안사거리점,서울 동대문구 답십리로 291-1
66,맥도날드 한양대점,서울 성동구 왕십리로 227
67,맥도날드 한국외대점,서울 동대문구 휘경로 15
68,맥도날드 압구정CGV점,"서울 강남구 논현로 848 지하1층, 1층"
69,맥도날드 한티역,서울 강남구 도곡로 409 엠프리스빌딩
70,맥도날드 명지대점,서울 서대문구 거북골로 25
71,맥도날드 합정메세나폴리스점,서울 마포구 양화로 45 2층
72,맥도날드 대학로점,서울 종로구 대학로 130
73,맥도날드 서울역점,서울 중구 한강대로 405 110호
74,맥도날드 방학역DT점,서울 도봉구 도봉로 735
75,맥도날드 송정역점,서울 강서구 공항대로 21
76,맥도날드 파리공원점,서울 양천구 목동서로 45
77,맥도날드 구의역점,서울 광진구 아차산로 376
78,맥도날드 목동점,서울 양천구 목동로 221
79,맥도날드 명동2호점,서울 중구 퇴계로 116-1
80,맥도날드 중계역점,서울 노원구 동일로 1341 장우빌딩 1층
81,맥도날드 가산디지털점,서울 금천구 벚꽃로 298 대륭포스트6차 1층
82,맥도날드 구산점,서울 은평구 연서로 131
83,맥도날드 가산비지니스센터점,서울 금천구 가산디지털1로 165 1층
84,맥도날드 성균관대점,서울 종로구 창경궁로 241-1
85,맥도날드 삼선교점,서울 성북구 동소문로 13 일화빌딩 1층
86,맥도날드 신도림디큐브점,서울 구로구 경인로 662 지하2층
87,맥도날드 미아역점,서울 강북구 도봉로 204
88,맥도날드 중계,서울 노원구 중계로 218
89,맥도날드 은평이마트점,서울 은평구 은평로 111 8층
90,맥도날드 중앙대점,서울 동작구 흑석로 84 R&D센터 지하1층
91,맥도날드 상봉이마트,서울 중랑구 상봉로 118
92,맥도날드 동묘점,서울 종로구 종로 339
93,맥도날드 코엑스점,서울 강남구 삼성동 159-9 지하1층 A102호
94,맥도날드 신도림테크노점,서울 구로구 새말로 97 1층
95,맥도날드 한신점,서울 노원구 한글비석로 57
96,맥도날드 마리오아울렛점,서울 금천구 디지털로 185 1관
97,맥도날드 성수이마트,서울 성동구 뚝섬로 379 3층 푸드코트
98,한국맥도날드 본사,서울 종로구 종로 51 종로타워 14층
99,한국 로날드맥도날드하우스,서울 서초구 사평대로55길 82-14 201호
