,지점명,지점주소
0,올리브영 강남 플래그십,서울 서초구 강남대로 429 동일빌딩 1~3층
1,올리브영 명동 플래그십,"서울 중구 명동길 53 1,2층"
2,올리브영 관악 타운,서울 관악구 관악로 171
3,올리브영 가로수길타운,서울 강남구 도산대로 133
4,올리브영 홍대타운,서울 마포구 양화로 156 엘지팰리스 1층
5,올리브영 강남시티점,서울 강남구 테헤란로1길 30 1층 및 지하1층
6,올리브영 강남우성점,서울 강남구 강남대로 320 황화빌딩 1층
7,올리브영 건대입구점,서울 광진구 동일로22길 115 1층
8,올리브영 마곡나루역점,서울 강서구 마곡서로 152 두산더랜드타워 B동 105~107호
9,올리브영 명동중앙점,서울 중구 명동길 26 유네스코회관 1층
10,올리브영 신촌역점,서울 서대문구 신촌로 79
11,올리브영 강남 타운,서울 강남구 강남대로 372
12,올리브영 돈암중앙점,서울 성북구 동소문로 118 1층
13,올리브영 종각점,서울 종로구 종로 61 1층
14,올리브영 성신여대입구역점,서울 성북구 아리랑로 9
15,올리브영 시청역점,서울 중구 세종대로16길 1 1층
16,올리브영 강남역사거리점,서울 서초구 서초대로77길 3 아라타워 1층
17,올리브영 사당점,서울 동작구 동작대로 29 금강빌딩
18,올리브영 종로1가점,서울 종로구 종로 19 르메이에르종로타운 1층
19,올리브영 청담사거리점,서울 강남구 도산대로89길 8 LH빌딩 1층
20,올리브영 학동중앙점,서울 강남구 도산대로 326
21,올리브영 신논현역점,서울 강남구 강남대로 480 1층
22,올리브영 선정릉역점,서울 강남구 선릉로 602 1층
23,올리브영 선릉로점,서울 강남구 테헤란로64길 20 원동방빌딩 1층
24,올리브영 강남역센트럴점,"서울 강남구 테헤란로4길 6 1층 120,121호"
25,올리브영 홍대중앙점,"서울 마포구 어울마당로 68 해창빌딩 1,2층"
26,올리브영 수유 타운,서울 강북구 도봉로 336
27,올리브영 서울대입구역점,서울 관악구 남부순환로 1838
28,올리브영 역삼점,서울 강남구 테헤란로 115 서림빌딩 1층
29,올리브영 신용산역점,"서울 용산구 한강대로 95 래미안용산 101,102호"
30,올리브영 구로디지털단지역점,서울 관악구 시흥대로 574
31,올리브영 석촌역점,서울 송파구 백제고분로 387
32,올리브영 천호중앙점,서울 강동구 천호대로 1027 일동빌딩 1층
33,올리브영 노원점,"서울 노원구 상계로 65 105,106호"
