,지점명,지점주소
0,스타벅스 강남R점,서울 강남구 강남대로 390
1,스타벅스 파미에파크R점,서울 서초구 사평대로 205 센트럴시티 파미에파크돔
2,스타벅스 공릉DT점,서울 노원구 동일로 1015
3,스타벅스 청담스타R점,서울 강남구 도산대로57길 24
4,스타벅스 더종로R점,서울 종로구 종로 51
5,스타벅스 홍대입구역사거리R점,서울 마포구 양화로 125
6,스타벅스 석촌호수점,"서울 송파구 석촌호수로 262 지상 1, 2층"
7,스타벅스 영등포신길DT점,"서울 영등포구 신길로 137 1,2층"
8,스타벅스 연희DT점,서울 서대문구 연희로 144
9,스타벅스 환구단점,서울 중구 소공로 112 반도조선아케이드
10,스타벅스 홍대역점,서울 마포구 양화로 165 상진빌딩 1층
11,스타벅스 용산역써밋R점,서울 용산구 한강대로 69
12,스타벅스 화곡DT점,서울 강서구 등촌로 57
13,스타벅스 송파나루역DT점,서울 송파구 오금로 142
14,스타벅스 한강진역R점,서울 용산구 이태원로 252
15,스타벅스 마곡사이언스타워R점,서울 강서구 마곡동로 62
16,스타벅스 광화문R점,서울 종로구 세종대로 167 현대해상본사사옥 별관내
17,스타벅스 신월ICDT점,서울 양천구 남부순환로 430
18,스타벅스 방화DT점,서울 강서구 방화대로 375
19,스타벅스 이대R점,서울 서대문구 이화여대길 34
20,스타벅스 신정DT점,서울 양천구 신월로 341
21,스타벅스 노량진역점,서울 동작구 노량진로 134
22,스타벅스 낙성대DT점,서울 관악구 남부순환로 1948
23,스타벅스 영등포본동점,서울 영등포구 영등포로 254 우성타워 1층
24,스타벅스 송파방이DT점,서울 송파구 오금로 241
25,스타벅스 잠실새내역점,서울 송파구 올림픽로 96 1층
26,스타벅스 보라매공원R점,서울 동작구 보라매로5길 35
27,스타벅스 관악서울대입구R점,서울 관악구 관악로 158 BS타워 1층
28,스타벅스 마곡나루역점,서울 강서구 마곡중앙로 161-17
29,스타벅스 왕십리역점,서울 성동구 왕십리로 326
