,bus_stop_name,bus_stop_standard_id,bus_stop_ars_id,bus_stop_geo_lat,bus_stop_geo_lng
0,종로2가사거리,100000001,1001,37.569765125100005,126.9877498816
1,창경궁.서울대학교병원,100000002,1002,37.5791830159,126.9965660023
2,명륜3가.성대입구,100000003,1003,37.5826711749,126.99834010040001
3,종로2가.삼일교,100000004,1004,37.5685792736,126.9876130976
4,혜화동로터리.여운형활동터,100000005,1005,37.586242999999996,127.00174399999999
5,경기상고,100000006,1101,37.5875502159,126.96936345540001
6,신교동,100000007,1102,37.5832657654,126.97026536870001
7,경기상고,100000008,1103,37.5871907861,126.9697701102
8,경복고교,100000009,1104,37.585113193000005,126.9710436571
9,청운중학교,100000010,1105,37.5878519552,126.9725135095
10,자하문고개.윤동주문학관,100000011,1106,37.5921866176,126.96712618049999
11,자하문고개.윤동주문학관,100000012,1107,37.5923353152,126.9671906625
12,청운중학교,100000013,1108,37.5881285775,126.97246131979999
13,경복고교,100000014,1109,37.584966342600005,126.9711546793
14,통인시장종로구보건소,100000015,1110,37.5803257033,126.97105004040002
15,통인시장종로구보건소,100000016,1111,37.580513211799996,126.9713851083
16,효자동,100000017,1112,37.583091043,126.9706209712
17,사직단.어린이도서관,100000018,1113,37.5751355316,126.9679907155
18,사직동주민센터,100000019,1114,37.5761834563,126.97132449620001
19,경복궁역,100000020,1115,37.5768666917,126.97219601
20,경복궁역,100000021,1116,37.577671386300004,126.9722828893
21,경복궁,100000022,1117,37.5755767894,126.9787471496
22,KT광화문지사,100000023,1118,37.5724064843,126.9773193291
23,광화문,100000025,1120,37.569845398000005,126.9763838838
24,서울역사박물관.경교장.강북삼성병원,100000028,1123,37.570023,126.971248
25,광화문.금호아시아나본관앞,100000029,1124,37.5702880403,126.9731335513
26,광화문,100000030,1125,37.570365,126.97583700000001
27,세종문화회관,100000031,1126,37.5726577416,126.9765652658
28,서울지방경찰청.경복궁역,100000032,1127,37.5757446636,126.9714842989
29,사직단,100000033,1128,37.574855345799996,126.96818896100001
30,광화문광화문빌딩,100000034,1129,37.569450752,126.9765458935
31,덕성여중고,100000035,1130,37.5759017489,126.9820170203
