지점명,지점주소,y,x
CU 시청광장점,서울 중구 을지로 6,37.5653821677485,126.979208538495
CU 공군회관점,서울 동작구 알마타길 6 공군관사내 1층상업시설 106호,37.5098570948466,126.924954157932
CU 한강여의도1호점,서울 영등포구 여의도동 86-5 1층,37.5224767994316,126.939700745064
CU 마곡푸르지오점,서울 강서구 마곡중앙6로 10 마곡역 센트럴푸르지오시티 오피스텔,37.560386517159,126.828207752706
CU 역삼센타점,서울 강남구 역삼로9길 28,37.4959135595498,127.033851193712
CU 양재점,서울 강남구 강남대로 238,37.4849665053325,127.034757121285
CU 서초그린점,서울 서초구 잠원로3길 40,37.5082128473478,127.003658736923
CU 역삼에클라트점,서울 강남구 테헤란로20길 19,37.4985646987797,127.03502680361
CU 역삼벚꽃길점,서울 강남구 도곡로7길 8 서울특송현빌딩,37.4913400949661,127.035230472876
CU 금천예스점,서울 금천구 가산로3길 13 1층,37.4721936716882,126.894863040995
CU 영등포마사회점,서울 영등포구 영중로8길 14,37.5181787102109,126.907015872695
CU 논현우람점,서울 강남구 강남대로128길 81 남원빌딩1층,37.5125510762771,127.027997534382
CU 역삼시티점,서울 강남구 테헤란로7길 7 1층,37.4996310406531,127.030473092157
CU 국기원사거리점,서울 강남구 테헤란로8길 11,37.4982198557774,127.031611643373
CU 서초아이파크점,서울 서초구 서초대로77길 62 아이파크에비뉴 G110호,37.5027308418076,127.023903040367
CU 구로디지털단지역점,서울 구로구 디지털로32길 97-22,37.483742405498,126.901291908268
CU 잠실타워점,서울 송파구 올림픽로 293-19 현대타워 1층 101-2호,37.5151233893841,127.102480420283
CU 역삼신웅점,서울 강남구 테헤란로 216 신웅타워 101호,37.5014432260166,127.040146004168
CU 명일우량점,서울 강동구 동남로71길 38 1층,37.5520423388557,127.154068058218
CU 양재디오빌점,서울 강남구 강남대로 256 대우양재디오빌 103호,37.4864868587499,127.033537582361
CU 논현힐탑점,서울 강남구 학동로30길 39,37.511583546533,127.033004084615
CU 대림중앙점,서울 영등포구 대림로 209,37.4992591769376,126.897677422581
CU 을지로3가점,서울 중구 충무로 53-1 남강빌딩 1층,37.565992110561,126.99246430851
CU 용산앰버서더호텔점,서울 용산구 청파로20길 95,37.5321681514111,126.960884174116
