bottom_left_y,bottom_left_x,bottom_right_y,bottom_right_x,top_left_y,top_left_x,top_right_y,top_right_x,starbucks,seven11,gs25,olive0,mcdonalds,cu,total,total_x,total_y
37.5552507,126.7655622,37.5552507,126.7700588,37.5627221,126.7655622,37.5627221,126.7700588,0,0,0,0,0,0,,126.7655622,37.5552507
37.5552507,126.7700588,37.5552507,126.7745554,37.5627221,126.7700588,37.5627221,126.7745554,0,0,0,0,0,0,,126.7700588,37.5552507
37.5552507,126.7745554,37.5552507,126.779052,37.5627221,126.7745554,37.5627221,126.779052,0,0,0,0,0,0,,126.7745554,37.5552507
37.5477793,126.779052,37.5477793,126.7835486,37.5552507,126.779052,37.5552507,126.7835486,0,0,0,0,0,0,,126.779052,37.5477793
37.5552507,126.779052,37.5552507,126.7835486,37.5627221,126.779052,37.5627221,126.7835486,0,0,0,0,0,0,,126.779052,37.5552507
37.5627221,126.779052,37.5627221,126.7835486,37.5701935,126.779052,37.5701935,126.7835486,0,0,0,0,0,0,,126.779052,37.5627221
37.5477793,126.7835486,37.5477793,126.7880452,37.5552507,126.7835486,37.5552507,126.7880452,0,0,0,0,0,0,,126.7835486,37.5477793
37.5552507,126.7835486,37.5552507,126.7880452,37.5627221,126.7835486,37.5627221,126.7880452,0,0,0,0,0,0,,126.7835486,37.5552507
37.5627221,126.7835486,37.5627221,126.7880452,37.5701935,126.7835486,37.5701935,126.7880452,0,0,0,0,0,0,,126.7835486,37.5627221
37.5701935,126.7835486,37.5701935,126.7880452,37.5776649,126.7835486,37.5776649,126.7880452,0,0,0,0,0,0,,126.7835486,37.5701935
37.5477793,126.7880452,37.5477793,126.7925418,37.5552507,126.7880452,37.5552507,126.7925418,0,0,0,0,0,0,,126.7880452,37.5477793
37.5552507,126.7880452,37.5552507,126.7925418,37.5627221,126.7880452,37.5627221,126.7925418,0,0,0,0,0,0,,126.7880452,37.5552507
37.5627221,126.7880452,37.5627221,126.7925418,37.5701935,126.7880452,37.5701935,126.7925418,0,0,0,0,0,0,,126.7880452,37.5627221
37.5701935,126.7880452,37.5701935,126.7925418,37.5776649,126.7880452,37.5776649,126.7925418,0,0,0,0,0,0,,126.7880452,37.5701935
